player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,,4,4,3,4,5,3,4,5,4,36,4,5,4,4,3,4,4,3,5,36,72,-
matsuura-aoi,1,@松浦 葵,4,3,2,5,5,2,3,5,4,33,4,4,3,3,3,3,3,3,5,31,64,-8
andou-hyakukaori,2,安藤 百香,3,4,2,4,4,3,4,4,5,33,3,5,3,4,3,4,4,3,5,34,67,-5
oka-satooto,2,@岡 里音,4,3,2,4,4,3,4,5,5,34,4,5,3,4,3,3,3,3,5,33,67,-5
nagata-riko,4,長田 莉子,4,3,3,4,5,3,4,4,4,34,4,5,4,4,2,4,3,4,4,34,68,-4
kimura-hazuki,5,@木村 葉月,3,3,3,5,5,3,4,5,4,35,4,5,4,4,3,3,4,2,5,34,69,-3
tada-bunkaoru,5,多田 文馨,3,4,3,3,5,3,5,5,4,35,4,5,4,4,3,3,4,4,3,34,69,-3
mukai-nanaumi,5,向井 七海,4,4,2,4,4,3,4,5,4,34,4,5,4,4,3,3,4,3,5,35,69,-3
sakai-rikon,5,@酒井 理琴,5,3,2,3,5,2,4,5,4,33,4,5,5,4,3,4,4,3,4,36,69,-3
mitsui-yuuna,9,@三井 優奈,4,4,2,4,5,3,4,4,4,34,4,5,4,4,3,4,4,3,5,36,70,-2
kitagawa-sakuraku,9,@北川 紗玖楽,4,4,3,4,5,2,5,4,4,35,5,4,4,5,3,3,4,3,4,35,70,-2
torii-sakura,9,@鳥居 さくら,4,4,2,4,5,4,4,4,4,35,4,5,5,4,3,3,4,3,4,35,70,-2
kokubun-ayana,9,國分 彩那,4,4,3,4,5,3,3,5,3,34,4,5,5,4,3,4,4,3,4,36,70,-2
hanaoka-chiharu,13,@花岡 千陽,4,4,3,6,4,3,4,5,5,38,3,5,4,4,2,3,5,3,4,33,71,-1
kokutou-satsuki,13,谷頭 さつき,4,4,2,4,4,3,4,4,5,34,4,4,4,4,3,4,5,4,5,37,71,-1
sadanaga-aoinama,13,@貞永 葵生,4,3,2,4,5,2,4,5,4,33,5,5,5,4,4,4,4,2,5,38,71,-1
nakagoshi-hyaku(kurikaesi)kaori,16,@中越 百々香,4,3,3,3,4,2,4,5,5,33,5,8,4,4,3,3,4,3,5,39,72,E
imanishi-sakura,16,@今西 さくら,3,4,2,4,4,4,5,5,4,35,4,5,4,5,3,3,4,4,5,37,72,E
aoyama-yuzuyu,16,@青山 ゆずゆ,4,4,3,4,4,3,4,5,4,35,4,5,5,4,3,4,4,3,5,37,72,E
yasumoto-misaki,16,安本 美咲,4,3,3,4,5,3,4,5,5,36,4,5,4,4,3,3,4,4,5,36,72,E
morita-shuuko,16,森田 就子,4,4,3,4,5,3,4,5,4,36,4,5,4,5,3,4,4,2,5,36,72,E
shioji-senjin,16,@塩路 千尋,3,3,3,5,5,3,6,5,4,37,4,5,4,4,3,3,4,3,5,35,72,E
moriyama-ai,22,@森山 亜衣,4,4,3,4,5,3,4,5,5,37,4,4,4,6,3,3,4,3,5,36,73,+1
matsunaga-ouhana,22,松永 王花,3,4,4,4,5,3,4,5,4,36,4,5,4,5,3,4,4,3,5,37,73,+1
yamamoto-ayano,22,山本 彩乃,4,3,4,4,6,2,4,5,4,36,5,5,4,4,3,4,4,3,5,37,73,+1
kakuda-aya,22,@角田 あや,4,4,3,4,5,3,4,6,5,38,4,4,4,4,3,4,4,3,5,35,73,+1
taguchi-ranmei,26,田口 蘭名,3,4,3,3,5,3,4,5,5,35,4,5,5,5,3,4,5,3,5,39,74,+2
tamura-wa,26,田村 和,4,4,3,4,5,3,4,5,4,36,4,5,5,5,3,4,5,3,4,38,74,+2
ichihashi-aitadahitsuji,28,@市橋 愛惟未,5,4,3,5,4,3,4,5,4,37,5,5,4,4,3,4,4,4,5,38,75,+3
ootani-na(kurikaesi)ko,28,大谷 菜々子,5,5,3,4,4,5,4,5,4,39,4,5,4,4,4,3,4,4,4,36,75,+3
yamada-moeka,28,山田 萌香,4,4,3,4,5,4,4,5,4,37,4,6,3,4,3,4,5,3,6,38,75,+3
jienifaa-koga,28,ジェニファー コガ,4,3,2,5,4,3,7,5,4,37,5,5,5,4,4,4,4,3,4,38,75,+3
sugihara-ayahana,28,杉原 彩花,4,4,3,4,4,3,7,5,4,38,4,5,4,4,3,5,4,3,5,37,75,+3
enkaku-ikumi,33,円角 育未,4,4,3,4,5,3,4,5,5,37,4,5,4,5,4,4,4,4,5,39,76,+4
mizoguchi-hina,33,@溝口 雛,4,4,4,4,5,3,4,5,4,37,5,6,4,4,3,4,4,4,5,39,76,+4
inoue-himeka,35,@井上 姫花,4,4,3,4,5,4,5,5,5,39,5,5,5,4,3,4,5,3,4,38,77,+5
jinja-sayaka,35,神社 佐也加,4,4,3,4,5,2,4,5,5,36,3,5,4,6,3,4,5,4,7,41,77,+5
kinoshita-sana,35,@木下 紗菜,4,3,3,5,5,3,4,5,5,37,5,4,4,5,4,4,5,3,6,40,77,+5
kinjou-manan,38,金城 茉南,5,4,4,3,4,4,5,5,5,39,4,6,5,5,3,4,5,3,5,40,79,+7
kurosu-aisei,38,@黒須 愛生,4,4,3,5,4,3,4,5,5,37,4,5,4,5,3,4,5,4,8,42,79,+7
itou-ai,38,@伊藤 亜衣,4,5,4,4,5,4,5,5,5,41,5,5,4,4,3,4,5,3,5,38,79,+7
yamada-suisaki,41,@山田 翠咲,4,3,4,3,5,3,7,5,5,39,5,5,6,5,3,4,5,4,6,43,82,+10
