player_id,rank,name,out,in,total,score
master,PAR,PAR,36,36,72,0
masada-yumeno,1,政田 夢乃,31,33,64,-8
ueda-rina,2,植田 梨奈,32,33,65,-7
kawamura-kurumi,3,河村 来未,34,32,66,-6
arakawa-yuuna,4,荒川 侑奈,33,34,67,-5
takano-akari,4,高野 あかり,31,36,67,-5
enkaku-yuuki,6,円角 有希,36,32,68,-4
morita-shuuko,6,森田 就子,33,35,68,-4
tamura-ryouumi,6,田村 良海,35,33,68,-4
furukawa-rigatsuai,6,古川 莉月愛,34,34,68,-4
matsuura-biyuu,6,松浦 美侑,34,34,68,-4
okumura-honatsu,11,奥村 穂夏,34,35,69,-3
wakui-mayu,11,和久井 麻由,36,33,69,-3
sakai-ryuuna,11,坂井 留奈,37,32,69,-3
imai-ayumi,11,今井 鮎美,36,33,69,-3
hiratsuka-shinyume,11,平塚 新夢,36,33,69,-3
koga-kisaki,11,古賀 妃,36,33,69,-3
shikinishi-satoshisato,11,識西 諭里,36,33,69,-3
yamaguchi-rio,18,山口 里緒,35,35,70,-2
watanabe-shiori,18,渡邊 詩織,36,34,70,-2
kobayashi-mizuki,18,小林 瑞季,37,33,70,-2
yokoyama-momo,18,横山 もも,38,32,70,-2
harada-ruriminami,18,原田 瑠璃南,35,35,70,-2
kuroda-hikariri,18,黒田 光理,35,35,70,-2
usui-ranze,18,臼井 蘭世,35,35,70,-2
koga-koromosakura,18,古賀 衣桜,36,34,70,-2
narukawa-airi,18,鳴川 愛里,34,36,70,-2
hanabushi-satoho,18,花渕 里帆,35,35,70,-2
