player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,3,4,4,3,4,5,36,4,3,4,5,4,4,3,5,4,36,72,
fujikawa-reina,1,藤川 玲奈,4,4,4,3,3,5,3,5,4,35,4,3,3,5,4,4,3,4,4,34,69,-3
shousaki-suzuna,2,商崎 鈴菜,4,4,5,4,3,4,2,5,4,35,4,4,3,5,4,4,2,4,5,35,70,-2
player-003,2,橋添 香,4,4,6,4,3,3,2,5,3,34,4,4,4,5,3,4,3,4,5,36,70,-2
chiba-yukino,4,千葉 雪乃,3,4,5,3,3,5,3,4,4,34,4,7,2,5,4,4,3,4,4,37,71,-1
player-005,4,佐藤 美優,5,4,4,4,3,4,2,4,4,34,4,4,4,5,5,3,3,5,4,37,71,-1
sakuma-natsumi,4,佐久間 夏美,4,4,5,4,3,5,2,5,3,35,4,4,3,5,4,4,3,4,5,36,71,-1
morita-shuuko,4,森田 就子,4,4,4,4,2,5,5,5,4,37,4,4,2,5,4,4,3,4,4,34,71,-1
itou-aitsuki,4,伊藤 藍月,4,4,5,4,3,5,3,5,4,37,4,3,3,4,5,4,3,3,5,34,71,-1
player-009,4,島田 紗,5,4,5,4,3,4,3,4,4,36,4,4,3,5,4,4,2,4,5,35,71,-1
kuwamura-miho,4,桑村 美穂,4,3,5,4,3,4,4,5,4,36,4,4,3,5,4,4,3,4,4,35,71,-1
player-011,11,郡山 瞳,3,5,5,4,3,5,3,4,4,36,4,4,4,5,4,4,3,4,4,36,72,E
hayashi-arina,11,林 亜莉奈,4,4,5,4,3,4,3,6,3,36,5,3,2,5,4,4,4,5,4,36,72,E
player-013,11,高橋 琴音,5,4,5,4,3,5,3,5,4,38,3,4,3,5,4,3,3,4,5,34,72,E
player-014,11,諸橋 愛奈,4,4,4,4,2,4,3,4,4,33,4,6,3,5,4,4,3,5,5,39,72,E
yabushita-mai,11,薮下 真衣,4,3,5,4,4,4,3,4,4,35,4,4,3,5,4,4,3,5,5,37,72,E
player-016,11,鍋島 海良,4,3,6,4,3,4,3,5,5,37,5,3,3,5,4,3,2,4,6,35,72,E
player-017,11,和久井 麻由,4,5,6,4,4,4,3,5,4,39,4,3,3,3,4,4,3,5,4,33,72,E
player-018,11,川畑 優菜,4,4,5,4,3,5,3,5,4,37,4,4,3,5,4,4,3,4,4,35,72,E
arakawa-yuuna,11,荒川 侑奈,4,4,5,4,3,3,3,5,4,35,5,3,3,5,4,5,3,4,5,37,72,E
player-020,11,西山 美希,4,5,5,4,3,4,3,5,4,37,3,4,4,4,4,4,3,4,5,35,72,E
player-021,11,村田 結,4,4,4,4,3,4,4,4,4,35,5,3,2,5,4,4,4,5,5,37,72,E
aisawa-nao,22,逢澤 菜央,5,5,5,4,4,4,3,4,4,38,4,4,4,5,4,3,3,4,4,35,73,1
player-023,22,@坂下 一咲,3,4,5,4,3,4,3,5,4,35,5,4,4,5,4,3,3,5,5,38,73,1
player-024,22,樋口 莉沙,4,4,5,4,3,4,3,5,4,36,4,5,4,4,4,3,3,5,5,37,73,1
tadokoro-misaki,22,田所 美沙樹,4,3,5,4,4,4,2,5,4,35,4,6,3,5,4,4,3,4,5,38,73,1
player-026,22,小堀 愛海,4,5,5,4,3,5,2,5,4,37,4,4,2,5,5,4,3,4,5,36,73,1
akanuma-marino,22,赤沼 まりの,4,4,4,4,3,4,3,5,3,34,4,4,3,6,5,4,3,5,5,39,73,1
player-028,22,竹原 美悠,4,4,5,3,3,5,3,5,4,36,4,5,4,6,4,4,2,3,5,37,73,1
player-029,22,@畑中 日葉莉,4,4,6,4,2,4,3,4,4,35,4,4,3,5,4,4,3,5,6,38,73,1
player-030,22,二口 涼,4,4,5,4,3,4,4,5,3,36,4,4,3,5,4,4,3,5,5,37,73,1
kimura-nonohana,22,@木村 野々花,4,4,5,4,3,3,3,5,4,35,4,4,3,6,4,4,3,4,6,38,73,1
player-032,22,町田 涼紗,4,4,4,4,3,4,3,5,4,35,5,3,4,6,5,3,3,4,5,38,73,1
player-033,22,長尾 小百合,4,4,4,4,3,4,3,5,4,35,4,5,4,5,4,4,4,4,4,38,73,1
yamamoto-yuka,22,山本 優花,5,4,5,4,3,5,4,5,3,38,4,4,3,5,4,4,3,4,4,35,73,1
yanagisawa-konomi,22,柳澤 木の実,4,5,5,5,2,5,4,4,4,38,4,4,3,5,4,4,3,4,4,35,73,1
kobayashi-mizuki,22,小林 瑞季,4,4,5,5,3,4,3,5,4,37,5,4,2,5,4,4,3,4,5,36,73,1
sanson-makotosuzu,22,山村 真鈴,5,5,5,4,3,6,2,4,4,38,4,4,2,5,5,3,4,4,4,35,73,1
player-038,38,江河 鈴,4,4,4,4,4,4,3,5,4,36,4,5,4,4,5,4,3,3,6,38,74,2
sakihama-yui,38,@崎浜 ゆい,4,4,5,4,3,4,3,5,4,36,4,5,3,5,5,4,3,4,5,38,74,2
player-040,38,飯田 真梨,4,5,5,4,2,5,3,5,4,37,4,5,3,6,4,3,3,4,5,37,74,2
player-041,38,吉村 悠菜,5,5,6,4,3,6,3,4,3,39,4,5,3,4,4,4,3,4,4,35,74,2
saotome-aki,38,@五月女 愛來,5,4,4,4,3,4,3,5,4,36,5,5,4,5,4,4,3,4,4,38,74,2
player-043,38,西山 知里,3,3,6,5,3,4,4,5,4,37,4,4,4,5,5,3,3,4,5,37,74,2
player-044,38,植田 梨奈,3,4,7,4,4,4,3,5,4,38,4,4,3,5,4,4,3,5,4,36,74,2
player-045,38,@田上 桜,3,3,4,4,3,6,4,5,4,36,4,4,4,4,5,4,3,5,5,38,74,2
wada-junrei,38,和田 純怜,5,4,4,3,4,4,4,5,4,37,4,4,4,5,4,4,4,4,4,37,74,2
player-047,38,@齋藤 華音,4,4,4,5,3,4,4,4,3,35,4,6,3,4,4,4,3,5,6,39,74,2
kinoshita-kaho,38,木下 夏帆,5,4,4,4,3,5,3,4,4,36,5,5,3,5,4,4,3,4,5,38,74,2
player-049,38,@高田 優妃,5,4,5,4,3,4,3,5,4,37,4,4,3,6,3,5,3,4,5,37,74,2
enkaku-ikumi,50,円角 育未,5,4,5,5,2,4,3,5,4,37,5,4,4,5,4,4,3,4,5,38,75,3
kokutou-satsuki,50,谷頭 さつき,4,4,5,4,3,4,4,4,5,37,5,4,5,5,4,4,3,4,4,38,75,3
player-052,50,石川 夢香,4,5,5,4,2,5,4,5,4,38,4,4,3,5,4,4,3,5,5,37,75,3
sugita-miki,50,杉田 美紀,5,4,5,4,3,4,3,6,4,38,4,4,3,5,4,4,3,4,6,37,75,3
player-054,50,仲西 菜摘,4,4,4,4,3,5,3,4,4,35,5,6,3,6,4,3,3,5,5,40,75,3
player-055,50,木村 彩夏,4,5,5,5,3,4,3,5,4,38,4,4,4,5,4,4,3,4,5,37,75,3
asai-tsukasa,50,浅井 つかさ,4,4,5,5,3,4,3,4,4,36,4,7,3,5,4,4,3,4,5,39,75,3
suzuki-mayoru,50,鈴木 磨夜,4,4,5,4,3,4,3,5,5,37,4,4,4,5,4,4,3,5,5,38,75,3
suzuki-yume,50,鈴木 優芽,3,4,5,4,3,3,3,7,4,36,5,5,4,5,4,4,3,4,5,39,75,3
kikuchi-shiori,50,菊地 志織,5,4,5,4,3,5,3,5,4,38,3,4,4,6,3,4,3,5,5,37,75,3
fukaya-kotono,60,深谷 琴乃,4,4,4,4,4,5,4,4,4,37,6,6,3,5,4,4,3,4,4,39,76,4
yamada-suisaki,60,@山田 翠咲,4,4,4,4,3,5,4,6,4,38,4,5,3,5,4,3,4,6,4,38,76,4
kashiwabara-mizuki,60,柏原 瑞季,4,5,5,5,3,4,3,6,4,39,4,3,4,6,3,4,3,4,6,37,76,4
player-063,60,安西 歩美,4,5,6,5,4,3,3,5,3,38,4,7,3,5,4,3,4,4,4,38,76,4
player-064,60,播磨 知優,5,3,4,5,4,5,3,4,5,38,4,5,3,5,4,4,4,4,5,38,76,4
player-065,60,大橋 ありさ,4,3,6,4,4,4,4,4,4,37,4,5,2,7,4,4,3,4,6,39,76,4
player-066,60,水野 円琳,5,4,5,4,3,5,3,5,4,38,4,4,3,5,4,4,4,4,6,38,76,4
tanaka-shuran,60,@田中 珠蘭,4,6,5,4,3,4,3,6,4,39,3,4,3,5,5,4,3,4,6,37,76,4
oouchi-zuiki,60,大内 瑞喜,4,5,6,5,3,4,3,5,4,39,4,4,4,5,4,4,3,4,5,37,76,4
uetake-aimi,60,植竹 愛海,4,5,5,5,3,5,2,6,4,39,5,3,4,5,5,3,3,4,5,37,76,4
fujii-kanouka,70,藤井 叶佳,5,5,5,5,2,4,3,6,4,39,4,5,4,5,4,4,3,4,5,38,77,5
