player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,4,3,4,4,3,5,36,5,4,4,3,4,3,4,5,4,36,72,
katou-reina,1,＠加藤 麗奈,4,4,4,3,3,4,3,3,5,33,6,3,3,3,3,2,4,4,4,32,65,-7
kuwamura-miho,2,＠桑村 美穂,3,3,4,4,3,4,3,3,4,31,5,4,3,3,4,3,4,5,4,35,66,-6
nakaji-hou,2,中地 萌,4,4,4,4,3,4,4,3,4,34,4,3,4,3,4,2,4,4,4,32,66,-6
kamiya-momouta,4,＠神谷 桃歌,4,4,5,4,2,4,4,3,5,35,5,3,4,3,4,3,3,4,3,32,67,-5
sadoyama-riri,4,佐渡山 理莉,4,4,4,4,3,3,4,2,5,33,5,4,4,3,3,3,4,5,3,34,67,-5
nabeshima-umiryou,4,鍋島 海良,4,4,3,4,3,4,6,3,4,35,4,4,4,3,4,2,4,3,4,32,67,-5
kojima-ayaka,4,小島 彩夏,3,4,5,4,3,4,3,3,5,34,5,3,5,2,4,3,3,5,3,33,67,-5
omata-yuzuha,4,＠小俣 柚葉,3,4,5,3,3,4,3,3,5,33,5,4,4,2,4,3,4,4,4,34,67,-5
wakui-mayu,4,和久井 麻由,4,4,5,4,3,4,3,2,4,33,4,5,4,3,4,2,3,5,4,34,67,-5
enkakuyuuki,4,円角有希,4,4,4,4,3,4,4,3,4,34,5,4,4,2,4,3,4,3,4,33,67,-5
shimizu-yuriya,11,＠清水 友莉耶,4,4,5,4,3,3,4,2,4,33,4,4,4,3,3,4,4,5,4,35,68,-4
itou-shiorina,11,伊藤 栞奈,4,4,4,3,4,4,4,3,4,34,4,3,4,3,4,4,4,5,3,34,68,-4
kinjou-manan,11,金城 茉南,4,4,5,4,3,4,4,2,4,34,4,3,4,3,4,3,4,5,4,34,68,-4
kamidousono-kyajun,11,上堂薗 伽純,4,4,3,4,3,4,4,3,5,34,5,4,4,2,4,3,5,4,3,34,68,-4
yamada-suisaki,11,＠山田 翠咲,4,3,5,4,3,4,4,3,5,35,4,3,4,3,4,3,4,5,3,33,68,-4
matsuyama-rina,11,＠松山 りな,3,5,5,4,3,4,4,2,5,35,5,4,3,3,4,3,3,5,3,33,68,-4
koga-koromosakura,11,古賀 衣桜,4,4,6,3,3,4,3,3,4,34,5,4,4,3,3,3,4,5,3,34,68,-4
kouda-irori,11,＠幸田 彩里,4,3,5,4,3,4,3,3,5,34,5,4,3,3,4,2,3,5,5,34,68,-4
sugita-miki,11,杉田 美紀,6,4,5,3,4,3,3,2,4,34,4,4,3,3,4,3,4,5,4,34,68,-4
sakai-natsusuzu,11,＠酒井 夏鈴,4,4,5,4,3,4,4,3,5,36,6,3,3,2,4,2,4,4,4,32,68,-4
dokata-yuka,21,土方 優花,5,4,4,4,3,4,4,3,5,36,5,3,4,3,4,2,4,4,4,33,69,-3
morita-rino,21,＠森田 乃愛,4,4,5,3,3,4,4,3,4,34,5,4,4,3,3,3,4,5,4,35,69,-3
endou-katsuraoto,21,＠遠藤 桂音,5,4,4,4,3,3,4,3,6,36,4,4,4,2,3,3,4,5,4,33,69,-3
tagami-kisakinako,21,田上 妃奈子,4,4,5,4,3,5,4,2,4,35,5,3,4,2,4,3,4,5,4,34,69,-3
aoyama-midori,21,＠青山 緑,4,4,5,5,3,4,4,3,4,36,5,4,3,2,3,4,4,4,4,33,69,-3
shimada-sa,21,島田 紗,4,4,5,4,3,4,3,3,5,35,5,4,4,3,4,3,3,4,4,34,69,-3
