player_id,rank,name,out,in,total,score
master,PAR,PAR,36,36,72,0
nakano-erihana,1,中野 恵里花,36,34,70,-2
ide-eaika,2,井手 絵愛香,37,34,71,-1
nishiyama-sou,2,西山 奏,34,37,71,-1
nii-yuka,4,仁井 優花,38,34,72,0
kitamura-yuuna,4,北村 優奈,36,36,72,0
sadayama-suzukaba,4,佐田山 鈴樺,38,34,72,0
araki-bitomo,7,荒木 美友,36,37,73,1
sutaiyaanonashi(kurikaesi)na,7,スタイヤーノ梨々菜,33,40,73,1
masada-yumeno,7,政田 夢乃,38,35,73,1
sakaihara-matsuki,7,境原 茉紀,38,35,73,1
hiraoka-rui,7,平岡 瑠依,37,36,73,1
gondou-kakoi,7,権藤 可恋,39,34,73,1
kawanaka-shunka,7,川中 俊果,34,39,73,1
tsuboi-yuukaori,7,坪井 悠香,40,33,73,1
yamazaki-ryuunichi,15,山崎 琉日,37,37,74,2
nakanishi-fuuka,16,中西 風香,39,36,75,3
ishikawa-yumeka,16,石川 夢香,38,37,75,3
yamada-narumi,16,山田 成美,39,36,75,3
nitta-yuuki,16,新田 有希,39,36,75,3
miura-nao,16,三浦 菜緒,35,40,75,3
furuya-shoukaori,16,古家 翔香,34,41,75,3
