player_id,rank,name,out,in,total,score
master,PAR,PAR,36,36,72,0
nagata-airi,1,@永田愛梨,,,66,-6
ohashi-rio,2,@大橋莉生,,,68,-4
hoshino-runa,2,星野瑠菜,,,68,-4
nakatani-suzune,4,中谷鈴音,,,69,-3
sugihara-ayaka,4,杉原彩花,,,69,-3
yamada-misaki,4,@山田翠咲,,,69,-3
oka-rion,4,@岡里音,,,69,-3
tokuda-aoi,8,徳田葵,,,70,-2
shigehara-junna,8,@重原純奈,,,70,-2
kawabata-yuuna,8,川畑優菜,,,70,-2
haga-kotomi,8,@芳賀幸瞳,,,70,-2
sakurai-rio,8,@櫻井梨央,,,70,-2
maruyama-yuuka,13,丸山祐香,,,71,-1
kumakura-riko,13,熊倉莉子,,,71,-1
sekiguchi-ema,13,関口絵万,,,71,-1
suzuki-himeru,13,鈴木姫琉,,,71,-1
yamamoto-yuuka,13,山本優花,,,71,-1
osada-hinata,13,長田ひなた,,,71,-1
sakai-riko,13,@酒井理琴,,,71,-1
aoyama-midori,13,青山緑,,,71,-1
nishiyama-chisato,13,西山知里,,,71,-1
osato-hikaru,13,@大郷光瑠,,,71,-1
kojima-ayaka,13,小島彩夏,,,71,-1
shinchi-mamika,13,@新地真美夏,,,71,-1
noritomi-yui,25,乗富結,,,72,0
nagai-yua,25,@永井夢亜,,,72,0
okada-risa,25,岡田梨沙,,,72,0
hatanaka-hibari,25,@畑中日葉莉,,,72,0
kawakami-saori,25,川上紗緒里,,,72,0
ito-miki,25,@伊藤美輝,,,72,0
ando-momoka,25,安藤百香,,,72,0
takagishi-suzu,25,@高岸鈴,,,72,0
arakawa-yuna,25,荒川侑奈,,,72,0
hashizoe-kaori,34,桥添香,,,73,1
kimura-hazuki,34,木村葉月,,,73,1
hong-jiwoo,34,@Hong Jiwoo,,,73,1
matsuura-aoi,34,松浦葵,,,73,1
maruyama-karen,34,@丸山夏蓮,,,73,1
tachiura-kotona,34,立浦琴奈,,,73,1
morita-noa,34,森田乃愛,,,73,1
arimori-karin,34,有森可琳,,,73,1
kamiya-mio,34,神谷美緒,,,73,1
tatsumi-rua,43,巽琉愛,,,74,2
sakata-raika,43,坂田來香,,,74,2
onuki-rei,45,小貫麗,,,75,3
tanaka-hina,45,@田中陽菜,,,75,3
kutsuzawa-riko,45,沓澤莉子,,,75,3
kanou-yui,45,@叶結衣,,,75,3
kobayashi-teruna,45,@小林照菜,,,75,3
kikuchi-reina,50,菊地レイナ,,,77,5
kikuchi-rio,50,菊地りお,,,77,5
komiya-chiai,50,@小宮千愛,,,77,5
kobayashi-mei,50,小林芽以,,,77,5
hirano-mou,54,@平野瑚羽,,,78,6
nishizawa-miri,54,@西澤美李,,,78,6
kato-maoh,54,@加藤舞桜,,,78,6
yamamura-marin,54,山村真鈴,,,78,6
kobayashi-mizuki,54,小林瑞季,,,78,6
hata-akari,59,秦あかり,,,79,7
hayashi-kirina,60,林希莉奈,,,83,11
