player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,5,4,3,4,4,3,4,4,5,36,5,4,3,4,4,3,4,5,4,36,72,
player-t9-001,1,@永田愛梨,4,4,2,4,3,2,4,4,4,31,5,4,3,4,4,3,3,5,4,35,66,-6
player-t9-002,2,@大橋莉生,4,4,3,4,4,3,4,4,5,35,4,4,3,4,4,3,3,4,4,33,68,-4
player-t9-003,2,星野瑠菜,4,4,4,4,4,3,3,4,4,34,5,4,3,4,3,3,4,4,4,34,68,-4
player-t9-004,4,@岡里音,4,4,3,4,4,3,4,4,5,35,5,4,3,4,5,2,3,5,3,34,69,-3
player-084,4,中谷鈴音,4,4,4,4,4,2,4,3,6,35,5,4,3,5,4,2,4,4,3,34,69,-3
player-t9-006,4,杉原彩花,5,4,3,3,3,3,4,3,5,33,4,3,3,4,4,4,5,5,4,36,69,-3
yamada-suisaki,4,@山田翠咲,5,3,2,4,4,3,4,4,4,33,5,4,3,4,5,3,4,4,4,36,69,-3
player-t9-008,8,@芳賀幸瞳,4,4,3,5,4,3,4,3,5,35,5,4,4,4,4,3,3,4,4,35,70,-2
player-t9-009,8,@櫻井梨央,6,4,3,3,4,3,4,3,4,34,5,5,3,4,5,3,3,4,4,36,70,-2
player-t9-010,8,徳田葵,4,4,3,4,5,2,4,4,5,35,5,4,3,4,4,3,4,4,4,35,70,-2
player-t9-011,8,@重原純奈,5,5,3,4,4,3,4,4,4,36,4,4,4,4,4,2,3,5,4,34,70,-2
player-018,8,川畑優菜,4,5,3,4,3,3,4,3,4,33,5,5,3,4,4,3,4,5,4,37,70,-2
player-t9-013,13,関口絵万,5,4,3,4,4,3,4,4,5,36,5,4,2,4,4,3,5,5,3,35,71,-1
player-t9-014,13,鈴木姫琉,4,4,3,4,4,3,4,4,4,34,6,5,3,4,5,3,4,4,3,37,71,-1
yamamoto-yuka,13,山本優花,5,4,3,3,4,3,5,4,5,36,5,5,2,4,4,3,4,5,3,35,71,-1
player-043,13,西山知里,5,6,3,5,4,3,4,4,4,38,5,4,2,3,4,3,4,4,4,33,71,-1
