player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,3,5,4,4,4,5,4,3,36,5,4,4,3,5,4,3,4,4,36,72,
morita-ayane,1,＠森田 彩音,4,3,5,4,4,3,5,3,2,33,5,3,3,2,5,4,3,6,3,34,67,-5
nagata-kanae,2,＠永田 加奈恵,4,2,4,4,3,4,5,4,3,33,5,4,4,2,4,4,4,4,5,36,69,-3
sadoyama-riri,2,佐渡山 理莉,3,2,5,4,4,4,5,4,3,34,5,4,4,3,4,4,3,4,4,35,69,-3
kitamura-yuuna,2,北村 優奈,4,3,4,4,5,4,5,4,3,36,5,4,4,2,4,3,3,4,4,33,69,-3
maeda-ai,5,前多 愛,4,2,4,5,4,3,5,4,5,36,5,3,3,3,4,5,3,4,4,34,70,-2
kamiya-namegumi,5,神谷 奈恵,5,3,5,3,4,4,4,4,4,36,5,3,4,2,5,4,3,4,4,34,70,-2
chida-moeka,5,千田 萌花,4,3,5,4,4,4,4,3,3,34,5,4,4,3,5,4,3,4,4,36,70,-2
watanabe-shiori,5,渡邊 詩織,4,3,5,3,4,4,6,3,4,36,5,4,3,2,5,4,3,4,4,34,70,-2
chiba-yukino,5,千葉 雪乃,4,3,5,4,3,5,6,4,3,37,6,4,3,2,5,4,2,3,4,33,70,-2
shioji-senjin,10,＠塩路 千尋,5,2,5,4,5,3,5,4,3,36,5,4,3,3,5,3,3,3,6,35,71,-1
nakanishi-fuuka,10,中西 風香,4,4,4,4,4,4,5,4,3,36,5,3,4,2,5,5,3,4,4,35,71,-1
kimura-hazuki,10,＠木村 葉月,4,3,5,4,4,4,5,3,2,34,5,5,4,3,4,5,3,4,4,37,71,-1
amou-sakura,10,＠天羽 さくら,5,3,5,4,3,3,6,5,3,37,5,3,4,2,5,4,3,4,4,34,71,-1
ide-eairi,10,井手 絵愛里,5,3,5,4,4,4,4,4,3,36,5,4,4,3,5,3,3,4,4,35,71,-1
morohashi-aina,10,諸橋 愛奈,4,4,5,4,4,4,5,4,2,36,4,4,4,3,4,5,3,4,4,35,71,-1
