player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,3,4,4,3,4,5,36,4,3,4,5,4,4,3,5,4,36,72,
kashiwabara-mizuki,1,＠柏原 瑞季,4,4,4,3,4,4,3,3,4,33,5,3,4,4,5,4,3,4,4,36,69,-3
nakano-erihana,2,中野 恵里花,4,4,4,2,4,5,3,4,6,36,4,2,4,4,4,3,3,5,4,33,69,-3
kimura-en,2,木村 円,4,4,4,3,4,3,3,4,5,34,3,3,4,5,4,4,3,5,4,35,69,-3
sakaguchi-zuinanoko,2,坂口 瑞菜子,4,4,4,3,4,3,3,4,5,34,4,2,3,5,4,4,4,5,4,35,69,-3
yokoyama-shu(kurikaesi)na,5,@横山 珠々奈,4,4,4,3,4,5,3,3,4,34,4,2,4,5,4,4,4,5,4,36,70,-2
konishi-mizuho,6,小西 瑞穂,4,4,5,3,4,4,4,3,5,36,4,3,6,4,3,4,3,5,3,35,71,-1
horiuchi-meiri,6,堀内 明莉,3,4,5,4,4,3,4,4,5,36,5,3,3,4,4,5,3,4,4,35,71,-1
arakawa-yuuna,6,荒川 侑奈,4,4,4,3,4,4,3,4,4,34,5,2,4,6,4,4,3,6,3,37,71,-1
kumazawa-ami,6,熊澤 亜美,4,5,4,3,4,4,3,4,4,35,4,3,4,5,4,4,3,5,4,36,71,-1
kamiya-momouta,6,@神谷 桃歌,4,5,5,3,4,4,3,4,5,37,4,2,4,5,4,4,3,4,4,34,71,-1
wada-junrei,6,和田 純怜,5,5,4,3,5,4,3,3,5,37,5,2,4,5,3,4,2,5,4,34,71,-1
takehara-miyu,12,@竹原 美悠,4,4,6,3,4,4,3,4,4,36,5,4,4,4,4,2,5,4,4,36,72,0
arimoto-hanarei,12,有本 花怜,5,5,4,2,4,5,3,4,5,37,5,3,4,4,3,4,3,5,4,35,72,0
muguruma-nichinano,12,@六車 日那乃,4,5,4,4,4,5,3,3,5,37,4,3,4,4,5,4,3,5,3,35,72,0
oomura-minami,12,大村 みなみ,3,5,5,3,4,4,4,4,6,38,4,3,4,4,4,4,3,5,3,34,72,0
matsuoka-hana,12,松岡 華,4,3,4,4,3,5,3,4,6,36,4,3,4,5,3,5,4,5,3,36,72,0
ikehane-youkou,12,池羽 陽向,6,4,4,3,4,5,3,4,5,38,4,3,4,5,3,4,3,4,4,34,72,0
yabushita-mai,18,薮下 真衣,4,4,5,3,4,4,3,4,6,37,4,3,4,5,4,3,3,6,4,36,73,1
kamiya-wasou,18,神谷 和奏,4,4,5,4,4,5,4,3,5,38,4,3,4,4,4,5,3,4,4,35,73,1
morimoto-ten,18,森本 天,5,5,6,3,3,4,3,5,5,39,3,3,4,5,3,4,3,5,4,34,73,1
asami-yuuhana,18,浅見 優華,4,5,5,4,5,4,3,3,4,37,4,3,4,5,4,4,3,5,4,36,73,1
yamamoto-yuka,18,@山本 優花,4,5,5,3,4,5,3,5,4,38,4,3,4,5,4,4,2,5,4,35,73,1
masada-yumeno,18,政田 夢乃,4,4,4,3,4,4,3,4,6,36,4,3,4,5,4,4,4,5,4,37,73,1
hatano-natsuo,18,幡野 夏生,4,5,4,3,4,5,3,3,5,36,5,3,5,5,4,4,2,5,4,37,73,1
suzuki-mayoru,18,鈴木 磨夜,4,4,5,4,4,4,4,3,5,37,5,3,4,5,3,4,3,4,5,36,73,1
morohashi-aina,18,諸橋 愛奈,5,4,5,3,4,4,3,4,5,37,4,3,3,5,4,5,3,5,4,36,73,1
amano-marina,18,天野 真里奈,4,5,5,3,4,4,4,3,5,37,4,3,4,5,4,4,3,5,4,36,73,1
ozaki-akane,18,小崎 茜,4,4,4,4,4,5,3,3,5,36,4,2,5,5,4,5,3,5,4,37,73,1
takeuchi-miku,18,竹内 美来,4,4,4,2,4,5,3,4,5,35,5,3,4,4,4,4,4,5,5,38,73,1
kamiya-mio,18,神谷 美緒,4,4,4,2,4,5,3,4,5,35,4,2,4,7,4,4,3,6,4,38,73,1
hayakawa-natsumi,18,早川 夏未,4,4,4,3,5,4,3,4,4,35,4,3,4,5,4,5,4,5,4,38,73,1
tajima-rin,32,田島 凛,4,5,5,3,5,4,4,4,4,38,4,2,5,4,4,4,3,5,5,36,74,2
nakazawa-rurai,32,@中澤 瑠来,5,4,5,3,4,4,4,3,5,37,4,3,4,6,3,4,3,6,4,37,74,2
nakatani-rei,32,＠中谷 玲,4,4,5,3,5,4,3,4,5,37,4,3,4,5,4,5,3,4,5,37,74,2
sasahara-yumi,32,笹原 優美,4,4,5,3,4,5,3,4,5,37,4,3,4,5,4,6,3,4,4,37,74,2
yamaguchi-rio,32,山口 里緒,4,5,5,3,3,5,3,3,5,36,5,3,4,4,4,5,3,5,5,38,74,2
