rank,name,out,in,total,score
1,桑村 美穂,,,66,-6
2,薮下 真衣,,,69,-3
3,森本 天,,,70,-2
T4,神谷 美緒,,,71,-1
T4,大内 瑞喜,,,71,-1
T4,山本 優花,,,71,-1
T4,渡邊 詩織,,,71,-1
T8,柳澤 木の実,,,72,E
T8,植竹 愛海,,,72,E
T8,@寺本 朱利,,,72,E
T8,@伊藤 美輝,,,72,E
T8,江澤 亜季,,,72,E
T8,柏原 瑞季,,,72,E
T8,@佐野 夏奈,,,72,E
T8,古賀 妃,,,72,E
T8,商崎 鈴菜,,,72,E
T8,藤川 玲奈,,,72,E
T18,森田 乃愛,,,73,1
T18,巽 琉愛,,,73,1
T18,荒川 侑奈,,,73,1
T18,松岡 華,,,73,1
T18,小林 瑞季,,,73,1
T18,藤井 叶佳,,,73,1
T18,倉林 夏,,,73,1
T18,早川 夏未,,,73,1
T18,杉原 彩花,,,73,1
T27,浅井 つかさ,,,74,2
T27,鈴木 海咲,,,74,2
T27,島袋 ひの,,,74,2
T27,伊藤 藍月,,,74,2
T27,金城 和歌奈,,,74,2
T27,和田 純怜,,,74,2
T27,@齋藤 愛桜,,,74,2
T27,酒井 優菜,,,74,2
T27,小潮川 せり,,,74,2
T27,安藤 百香,,,74,2
T27,加藤 優花,,,74,2
T27,山村 真鈴,,,74,2
T39,@柴崎 香凛,,,75,3
T39,井上 渚,,,75,3
T39,@清水 友莉耶,,,75,3
T39,@山本 華菜音,,,75,3
T39,小島 彩夏,,,75,3
T39,杉田 美紀,,,75,3
T39,木下 夏帆,,,75,3
T39,笹原 優美,,,75,3
T39,高久 ゆうな,,,75,3
T39,高橋 茉夢,,,75,3
T39,相場 彩那,,,75,3
T39,坂下 一葉,,,75,3
T39,吉田 莉生,,,75,3
T39,澤田 知佳,,,75,3
T39,伊藤 真利奈,,,75,3
T39,林 亜莉奈,,,75,3
T55,入江 京花,,,76,4
T55,深谷 琴乃,,,76,4
T55,鈴木 姫琉,,,76,4
T55,森田 就子,,,76,4
T55,保坂 萌々,,,76,4
T55,@田中 珠蘭,,,76,4
T55,@崎浜 ゆい,,,76,4
T55,@遠藤 桂音,,,76,4
T55,手塚 彩馨,,,76,4
T55,嶋貫 友紀,,,76,4
T55,青山 緑,,,76,4
T66,佐久間 夏美,,,77,5
T66,有本 花怜,,,77,5
T66,伊波 莉羅,,,77,5
T66,佐々木 理乃,,,77,5
T66,坂井 七菜,,,77,5
T66,@井上 翠唯,,,77,5
T66,矢口 愛理,,,77,5
T66,赤沼 まりの,,,77,5
T66,坂田 來香,,,77,5
T66,@飯村 知紗,,,77,5
T66,@松山 りな,,,77,5
T66,菊地 りお,,,77,5
T66,菊地 志織,,,77,5
T66,谷頭 さつき,,,77,5
T66,森田 彩音,,,77,5
T66,鈴木 夏瑠,,,77,5
T66,@中野 舞子,,,77,5
T66,横山 もも,,,77,5
T84,黒川 莉奈子,,,78,6
T84,円角 育未,,,78,6
T84,鈴木 磨夜,,,78,6
T84,八木 涼風,,,78,6
T84,田所 美沙樹,,,78,6
T84,周藤 可歩,,,78,6
T84,逢澤 菜央,,,78,6
T84,@小宮 千鶴,,,78,6
T84,@新谷 芽々,,,78,6
T84,@山田 翠咲,,,78,6
T84,丸山 祐香,,,78,6
T84,@五月女 愛來,,,78,6
T96,@岡地 里香,,,79,7
T96,鈴木 優芽,,,79,7
T96,千葉 雪乃,,,79,7
T96,@稲村 かぐや,,,79,7
T96,@東 凛夏,,,79,7
T96,@木村 野々花,,,79,7
T96,黒田 光理,,,79,7
T103,河村 萌波,,,80,8
T103,安西 美優,,,80,8
T103,松井 雛,,,80,8
T103,角田 夢香,,,80,8
T103,齊藤 妙,,,80,8
T108,@川越 夕嘉,,,81,9
T108,坂東 奈央,,,81,9
T108,坂井 留奈,,,81,9
T111,石井 咲来,,,82,10
T111,渡邊 桜紫,,,82,10
T111,@竹澤 みなみ,,,82,10
T114,齊藤 愛美,,,83,11
T114,@松本 花仔乃,,,83,11
T114,@平野 瑚羽,,,83,11
117,金本 佳央,,,85,13
118,@西村 亜咲,,,87,15
119,鷲崎 奈未,,,88,16
120,南澤 莉佳子,,,92,20
