player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,3,4,5,4,4,3,5,36,4,5,3,4,4,4,3,5,4,36,72,
oda-sukeyuu,1,小田 祐夕,4,4,2,4,4,4,4,2,4,32,3,4,2,3,3,3,3,5,4,30,62,-10
matsuura-aoi,2,松浦 葵,3,3,3,3,4,4,4,2,4,30,4,4,2,4,5,4,3,5,5,36,66,-6
kotani-sai,3,子谷 采,4,3,3,3,5,4,4,3,5,34,3,5,2,4,4,4,3,5,3,33,67,-5
sadoyama-riri,3,佐渡山 理莉,4,3,3,4,4,3,3,3,5,32,4,4,3,4,4,4,3,4,5,35,67,-5
hashimoto-mitsuki,3,橋本 美月,4,3,3,5,4,4,3,3,5,34,4,4,3,4,3,4,3,4,4,33,67,-5
narukawa-airi,6,鳴川 愛里,3,4,3,3,5,4,4,3,5,34,4,4,4,4,3,4,2,5,4,34,68,-4
kanou-yui,6,叶 結衣,4,3,3,4,3,4,3,3,5,32,4,4,3,3,5,4,3,5,5,36,68,-4
yoshida-rinama,6,吉田 莉生,4,4,2,3,4,5,4,3,5,34,3,4,3,4,4,4,3,5,4,34,68,-4
gion-biina,6,祇園 美衣菜,4,4,2,4,4,4,5,3,4,34,4,5,3,4,4,4,1,5,4,34,68,-4
kikuta-hina,6,菊田 ひな,4,3,3,3,4,5,4,3,5,34,4,4,3,4,4,4,3,4,4,34,68,-4
sugihara-ayahana,11,杉原 彩花,5,4,2,4,5,4,4,3,5,36,4,4,3,4,4,4,3,3,4,33,69,-3
tatsumi-ryuuai,11,巽 琉愛,4,3,3,3,5,4,3,3,6,34,4,5,3,3,5,4,3,4,4,35,69,-3
yasumoto-misaki,11,安本 美咲,4,4,2,4,5,3,4,3,4,33,4,5,3,4,4,3,3,5,5,36,69,-3
nagata-riko,11,長田 莉子,4,4,3,4,4,4,4,3,5,35,4,5,3,4,3,3,3,6,3,34,69,-3
kuze-natsunokaori,11,久世 夏乃香,3,3,3,3,5,4,4,3,5,33,4,5,3,4,5,3,3,5,4,36,69,-3
enkaku-yuuki,11,円角 有希,4,4,3,3,4,4,4,3,5,34,4,4,3,4,4,3,3,5,5,35,69,-3
arimori-karin,11,有森 可琳,4,4,2,3,4,3,5,4,5,34,4,5,3,4,4,4,3,5,3,35,69,-3
maruo-umishichi,18,丸尾 海七,4,4,2,3,4,4,4,2,5,32,4,4,3,4,5,3,4,6,5,38,70,-2
morimoto-hisashikanou,18,森本 寿叶,4,4,2,4,5,5,3,3,5,35,4,5,2,3,3,4,4,6,4,35,70,-2
yamada-houketsu,18,山田 萌結,4,4,2,5,5,4,4,4,5,37,4,4,3,3,3,4,3,5,4,33,70,-2
kataoka-yoshio,18,片岡 佳央,4,4,3,4,3,4,4,3,6,35,4,5,3,3,4,4,3,5,4,35,70,-2
watanabe-shiori,22,渡邉 詩織,4,4,3,4,5,4,5,3,5,37,4,4,3,3,4,5,3,4,4,34,71,-1
enkaku-ikumi,22,円角 育未,5,3,3,4,5,4,3,3,5,35,5,5,4,4,4,3,3,5,3,36,71,-1
takise-harukaaoi,22,瀧瀬 遥葵,4,4,3,3,4,4,5,3,5,35,4,4,3,3,5,3,4,5,5,36,71,-1
yamada-moeka,22,山田 萌香,3,4,3,3,5,3,4,4,5,34,5,5,2,4,5,4,3,5,4,37,71,-1
kawabata-yui,22,川端 悠衣,4,3,3,4,5,4,5,3,4,35,4,5,3,4,3,5,3,5,4,36,71,-1
oka-satooto,22,岡 里音,4,4,3,4,5,4,4,3,5,36,4,5,3,4,4,4,3,4,4,35,71,-1
ishikawa-yumeka,22,石川 夢香,4,5,3,4,3,3,5,3,5,35,4,5,3,3,3,5,3,6,4,36,71,-1
sawada-chika,29,澤田 知佳,4,4,5,4,5,4,4,3,5,38,4,5,3,3,6,3,3,4,3,34,72,0
nakamura-kaoto,29,中村 佳音,4,4,3,4,4,3,5,3,5,35,5,5,4,4,4,3,3,5,4,37,72,0
kajiyama-marina,29,梶山 万里奈,4,4,4,4,5,3,4,4,5,37,4,4,2,4,4,5,3,5,4,35,72,0
takada-hanakoi,32,高田 花恋,6,4,3,4,5,4,4,3,5,38,4,5,2,4,4,4,3,5,4,35,73,1
kanda-youiro,32,神田 陽色,4,3,3,4,5,4,4,4,5,36,4,5,4,5,5,3,3,5,3,37,73,1
imoto-saki,32,井元 咲希,4,5,5,5,4,4,4,3,4,38,4,5,3,4,5,3,3,5,3,35,73,1
yamamoto-chisato,32,山本 千聖,5,3,3,4,6,4,4,3,5,37,4,5,3,4,3,4,3,5,5,36,73,1
umezu-mayumi,32,梅津 マユミ,4,4,3,5,4,4,4,4,5,37,4,5,3,4,3,4,3,5,5,36,73,1
kimura-ayaanzu,32,木村 綾杏,4,3,3,4,5,3,4,3,5,34,4,5,3,4,4,5,4,5,5,39,73,1
ootani-na(kurikaesi)ko,32,大谷 菜々子,4,4,3,4,5,5,6,3,4,38,3,5,3,4,4,4,3,5,4,35,73,1
morita-shuuko,32,森田 就子,4,4,3,5,5,4,4,3,5,37,4,5,3,5,4,4,3,4,4,36,73,1
yamamoto-sai,40,山本 斎,4,4,3,5,4,4,4,3,5,36,4,5,3,3,5,5,3,5,5,38,74,2
kobayashi-momosachi,40,小林 桃幸,4,4,3,4,5,4,5,3,6,38,4,6,2,4,4,3,3,6,4,36,74,2
shitaji-tomoko,40,下地 智子,5,5,4,4,5,4,3,3,5,38,4,5,2,4,5,4,3,5,4,36,74,2
imanishi-sakura,40,＠今西 さくら,5,3,3,4,5,4,4,3,7,38,4,5,3,4,5,4,2,5,4,36,74,2
sakai-rikon,40,酒井 理琴,5,5,3,3,5,4,3,3,5,36,4,5,2,4,4,5,5,5,4,38,74,2
katou-yuuko,45,加藤 祐子,5,4,3,4,4,4,5,3,6,38,4,5,3,4,4,4,3,5,5,37,75,3
kataoka-suzuhana,45,片岡 鈴花,4,3,3,4,5,5,4,3,6,37,4,5,4,5,4,4,3,5,4,38,75,3
nishioka-rikako,45,西岡 利佳子,3,5,3,4,5,4,3,3,5,35,4,7,3,3,5,3,4,5,6,40,75,3
saga-misaki,45,佐賀 美咲,3,3,2,4,4,6,4,3,5,34,5,7,2,5,4,4,4,5,5,41,75,3
shuutou-kaho,45,周藤 可歩,4,4,3,5,5,4,4,3,5,37,4,5,3,4,4,4,3,7,4,38,75,3
yanagi-aika,50,柳 藍佳,4,4,4,4,5,5,5,3,5,39,4,5,3,5,5,3,3,4,5,37,76,4
yamaoka-runama,50,山岡 瑠生,4,4,3,5,5,4,4,2,5,36,4,5,4,5,5,4,4,5,4,40,76,4
karakida-rino,50,＠唐木田 梨乃,5,3,3,5,5,4,4,3,5,37,4,6,3,5,4,4,3,5,5,39,76,4
kumazawa-ami,53,熊澤 亜美,4,5,4,4,4,4,5,3,5,38,4,4,3,7,3,4,3,7,4,39,77,5
gakazu-kokorominami,54,賀数 心南,5,4,3,4,5,5,5,3,5,39,4,5,3,4,5,4,4,5,6,40,79,7
kawamura-chinami,55,河村 智菜美,4,4,4,5,6,5,5,3,5,41,5,6,3,5,6,3,3,6,4,41,82,10
hamabe-ho,NR,@浜辺 歩,,,,,,,,,,,,,,,,,,,,,,
