player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,5,4,4,3,4,5,3,4,36,4,4,3,5,4,5,4,3,4,36,72,
player-t11-001,1,@中谷玲,4,5,4,4,3,4,5,3,3,35,4,4,3,5,4,5,3,2,4,34,69,-3
player-t11-002,2,巽琉愛,4,5,4,3,2,3,5,3,4,33,4,3,3,5,5,5,5,2,4,36,69,-3
player-t11-003,2,薮下真衣,3,5,4,4,4,3,4,3,3,33,5,3,3,5,4,4,4,4,4,36,69,-3
player-t11-004,4,郡山瞳,3,5,5,3,3,3,6,3,3,34,4,4,3,5,4,5,4,3,4,36,70,-2
player-t11-005,4,西山美希,4,4,3,4,3,4,5,4,3,34,5,4,3,6,4,5,3,3,3,36,70,-2
player-t11-006,4,周藤可歩,4,5,4,4,3,4,5,3,3,35,4,4,3,5,3,4,4,3,5,35,70,-2
player-t11-007,4,森本天,4,5,4,4,3,4,5,2,5,36,3,4,2,6,4,4,4,3,4,34,70,-2
player-t11-008,8,@加藤舞桜,4,5,5,4,4,3,5,3,3,36,3,5,3,4,4,4,5,3,4,35,71,-1
player-t11-009,8,@山本紗愛,4,5,5,4,3,4,5,3,3,36,4,4,3,4,4,6,4,2,4,35,71,-1
player-t11-010,8,@新地真美夏,4,5,4,4,3,4,5,3,4,36,4,5,3,4,3,5,3,3,5,35,71,-1
player-t11-011,8,山本実希,4,5,4,4,3,3,5,3,4,35,4,4,3,4,5,5,4,3,4,36,71,-1
player-t11-012,8,藤川玲奈,4,6,5,4,3,4,5,3,4,38,4,4,2,5,3,5,4,3,3,33,71,-1
player-t11-013,13,倉林夏,4,5,4,3,3,4,4,3,5,35,4,4,3,6,4,5,4,3,4,37,72,0
player-t11-014,13,坂口瑞菜子,4,4,5,4,3,3,5,4,3,35,4,4,4,5,4,5,4,3,4,37,72,0
player-t11-015,15,@稲村かぐや,3,6,4,3,3,5,5,3,5,37,4,2,3,5,5,5,5,3,4,36,73,+1
player-t11-016,15,@永井夢亜,4,5,4,4,3,4,5,4,3,36,4,5,3,5,4,4,5,3,4,37,73,+1
player-t11-017,15,@中野舞子,4,5,4,4,2,3,7,4,4,37,3,5,3,5,4,5,4,3,4,36,73,+1
player-t11-018,15,@山田翠咲,4,7,4,5,3,3,5,3,4,38,4,3,2,5,4,4,4,4,5,35,73,+1
player-t11-019,15,@半澤かんな,4,5,3,4,3,3,5,3,5,35,4,5,4,5,3,5,5,3,4,38,73,+1
player-t11-020,20,原田瑠璃南,4,4,5,4,2,3,5,3,4,34,5,5,4,6,4,5,4,3,4,40,74,+2
player-t11-021,20,@崎浜ゆい,4,5,4,5,3,3,4,3,5,36,6,4,2,5,3,5,5,4,4,38,74,+2
player-t11-022,20,高久ゆうな,4,6,4,4,4,4,5,3,4,38,4,4,4,6,3,6,3,3,3,36,74,+2
player-t11-023,20,@五月女愛來,4,5,4,4,3,4,5,3,4,36,5,4,3,6,3,5,5,3,4,38,74,+2
player-t11-024,20,島田紗,3,6,6,4,3,4,4,3,5,38,4,5,3,6,3,5,3,3,4,36,74,+2
player-t11-025,25,宮本リリカ,4,4,4,4,4,4,5,3,5,37,4,4,3,5,5,5,4,3,5,38,75,+3
player-t11-026,26,逢澤菜央,3,5,5,5,3,4,4,3,5,37,4,4,4,5,5,6,4,3,4,39,76,+4
player-t11-027,26,@萩生田みらん,4,6,3,4,4,4,5,3,5,38,4,4,4,5,4,6,4,2,5,38,76,+4
player-t11-028,26,@畑中日葉莉,4,5,3,4,2,5,5,3,5,36,6,4,3,7,4,5,4,3,4,40,76,+4
player-t11-029,26,角田夢香,4,6,3,4,3,4,5,3,4,36,4,5,3,6,5,5,4,3,5,40,76,+4
player-t11-030,26,@木村野々花,4,6,4,4,3,4,6,4,5,40,4,4,3,5,4,4,4,3,5,36,76,+4
player-t11-031,31,山田萌香,5,4,5,4,3,4,5,3,5,38,4,3,3,6,3,7,4,4,5,39,77,+5
player-t11-032,32,浅井つかさ,4,5,6,4,3,4,5,3,4,38,5,4,4,7,5,5,3,3,4,40,78,+6
player-t11-033,32,池戸梨緒,4,6,4,5,4,4,5,3,4,39,4,5,4,5,4,5,4,3,5,39,78,+6
player-t11-034,32,@松本花仔乃,5,5,4,4,3,5,7,3,4,40,5,5,2,5,4,6,4,3,4,38,78,+6
player-t11-035,35,鈴木優芽,4,6,4,4,4,5,5,3,4,39,4,4,3,6,5,6,4,4,5,41,80,+8
player-t11-036,36,坂東奈央,4,5,5,4,3,4,8,3,6,42,4,5,3,4,4,6,5,3,5,39,81,+9
player-t11-037,37,@高橋亜莉澄,3,6,4,4,4,5,7,2,5,40,4,6,4,5,6,5,3,3,6,42,82,+10
player-t11-038,38,@鳥井心愛,5,6,6,4,3,4,6,3,5,42,4,4,3,6,4,5,5,5,5,41,83,+11
player-t11-039,38,村田結,4,6,7,5,3,4,6,4,4,43,4,4,3,6,6,6,4,3,4,40,83,+11
player-t11-040,40,押尾紗樹,4,5,5,5,4,4,5,5,5,42,4,5,5,6,5,6,4,3,5,43,85,+13
