player_id,rank,name,out,in,total,score
master,PAR,PAR,36,36,72,0
beibu-ryuu,1,ベイブ リュウ,33,35,68,-4
tadokoro-misaki,2,田所 美沙樹,35,34,69,-3
nakazawa-rurai,3,＠中澤 瑠来,34,36,70,-2
arakawa-yuuna,3,荒川 侑奈,38,32,70,-2
kawamura-kurumi,5,河村 来未,34,37,71,-1
muguruma-nichinano,5,@六車 日那乃,34,37,71,-1
tsuruse-kazuki,5,鶴瀬 華月,34,37,71,-1
kuroda-hikariri,8,黒田 光理,34,38,72,0
ezawa-aki,8,江澤 亜季,34,38,72,0
yasufuku-yukino,8,安福 千乃,36,36,72,0
nakaji-hou,8,中地 萌,35,37,72,0
ikehane-youkou,8,池羽 陽向,36,36,72,0
usui-ranze,8,＠臼井 蘭世,37,35,72,0
takaku-yuuna,14,高久 ゆうな,37,36,73,1
oomuraminami,14,大村みなみ,36,37,73,1
nakagawa-rika,14,中川 梨華,37,36,73,1
suzuki-mayoru,14,鈴木 磨夜,37,36,73,1
furuya-shoukaori,14,古家 翔香,36,37,73,1
furukawa-rigatsuai,14,古川 莉月愛,36,37,73,1
sumihara-miyu,14,隅原 実優,37,36,73,1
sekiguchi-heki,14,@関口 碧,37,36,73,1
uetake-aimi,14,植竹 愛海,38,35,73,1
hasegawa-manami,23,@長谷川 愛美,37,37,74,2
nishizawa-satoyo,23,＠西澤 里世,36,38,74,2
sasahara-yumi,23,笹原 優美,38,36,74,2
minayoshi-aihisashikaori,23,皆吉 愛寿香,37,37,74,2
hatano-natsuo,23,幡野 夏生,38,36,74,2
suzuki-umisaki,23,鈴木 海咲,37,37,74,2
takahashi-shizuku,23,高橋 しずく,38,36,74,2
shiba-harue,23,柴 晴恵,34,40,74,2
hosaka-hou(kurikaesi),23,保坂 萌々,36,38,74,2
mori-hana,23,森 はな,39,35,74,2
koga-kisaki,33,古賀 妃,38,37,75,3
yokoyama-shu(kurikaesi)na,33,@横山 珠々奈,36,39,75,3
ueno-youkou,33,上野 陽向,38,37,75,3
