player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,5,4,3,4,4,5,3,4,36,5,4,4,4,3,5,3,4,4,36,72,
kitagawa-sakuraku,1,＠北川 紗玖楽,5,4,4,3,4,4,4,3,5,36,5,4,4,4,3,5,2,3,4,34,70,-2
yoshida-rinama,2,吉田 莉生,4,5,4,3,4,3,5,3,4,35,3,4,5,3,4,5,4,4,4,36,71,-1
nakazawa-rurai,2,＠中澤 瑠来,4,6,3,3,5,5,4,3,4,37,5,3,4,4,3,5,4,3,3,34,71,-1
harima-chiyuu,2,播磨 知優,4,6,4,3,4,4,5,4,4,38,4,4,4,4,3,5,2,3,4,33,71,-1
kuze-natsunokaori,5,久世 夏乃香,4,5,4,3,4,4,5,3,4,36,4,3,4,5,4,5,3,4,4,36,72,0
katou-reina,5,＠加藤 麗奈,4,5,4,2,4,5,5,4,4,37,5,4,3,4,3,5,3,4,4,35,72,0
yokoyama-shu(kurikaesi)na,5,＠横山 珠々奈,4,5,4,3,5,4,4,3,5,37,4,3,4,5,3,5,3,4,4,35,72,0
nishizawa-hohitsuji,5,＠西澤 歩未,4,5,4,3,4,4,5,3,4,36,4,4,4,4,4,5,3,4,4,36,72,0
yokoyama-shoua,9,＠横山 翔亜,4,5,4,3,4,4,4,3,4,35,4,4,4,4,4,6,3,4,5,38,73,1
sasaki-rino,9,佐々木 理乃,3,5,4,3,4,5,5,2,4,35,4,4,4,5,3,6,4,4,4,38,73,1
shin-akari,9,＠秦 あかり,3,5,6,3,4,4,5,2,4,36,6,4,4,4,3,4,3,5,4,37,73,1
kobayashi-shouna,9,＠小林 照菜,4,4,4,3,4,4,5,3,4,35,4,4,3,4,4,6,5,4,4,38,73,1
itou-shiorina,9,伊藤 栞奈,5,5,4,3,4,4,5,2,4,36,5,5,4,3,3,4,5,4,4,37,73,1
matsuyama-rina,14,＠松山 りな,6,4,3,3,5,5,6,3,4,39,4,3,4,4,3,5,3,5,4,35,74,2
kimura-hazuki,14,＠木村 葉月,5,4,3,4,6,4,6,2,4,38,5,4,4,4,3,5,3,4,4,36,74,2
kusumoto-ayano,14,楠本 彩乃,4,5,4,3,4,4,5,4,5,38,4,4,4,4,3,5,4,4,4,36,74,2
kurabayashi-kurenai,14,＠倉林 紅,3,5,4,3,5,5,5,3,4,37,5,3,4,5,3,5,3,5,4,37,74,2
sakai-yuuna,14,酒井 優菜,3,6,3,3,4,5,4,4,4,36,5,4,4,5,4,5,3,4,4,38,74,2
mizuki-shunka,14,水木 春花,4,6,5,3,4,3,5,3,4,37,4,4,4,4,3,5,4,4,5,37,74,2
yamamoto-yuka,14,＠山本 優花,4,5,4,3,5,3,4,4,4,36,6,4,5,4,3,5,3,4,4,38,74,2
wada-junrei,14,和田 純怜,4,5,3,2,4,6,5,3,4,36,5,3,4,4,3,5,4,5,5,38,74,2
takada-yuukisaki,14,＠高田 優妃,5,5,4,2,4,5,6,3,5,39,5,4,3,4,4,4,3,4,4,35,74,2
nakamura-kaoto,14,中村 佳音,4,5,5,3,4,4,5,3,4,37,4,4,4,5,3,5,3,5,4,37,74,2
takaku-yuuna,24,高久 ゆうな,4,5,4,3,4,4,5,3,4,36,6,4,4,4,3,6,3,4,5,39,75,3
hayashi-arina,24,林 亜莉奈,4,5,4,3,5,4,5,3,5,38,6,4,3,3,4,5,4,4,4,37,75,3
machida-ryousa,24,町田 涼紗,5,6,4,3,4,4,6,3,4,39,5,4,5,3,3,5,3,4,4,36,75,3
akita-hikarinashi,24,＠秋田 光梨,4,5,4,3,4,4,5,4,5,38,4,4,4,5,3,5,3,5,4,37,75,3
aoi-asago,24,青井 麻瑚,4,5,4,3,4,4,6,4,4,38,5,5,4,4,2,5,3,4,5,37,75,3
morita-shuuko,24,森田 就子,4,5,6,2,4,4,5,3,4,37,4,4,5,6,3,6,4,3,3,38,75,3
yamaguchi-rio,24,山口 里緒,5,5,4,3,5,4,5,3,4,38,6,4,4,4,3,4,3,4,5,37,75,3
murata-ketsu,24,＠村田 結,4,5,4,3,4,4,6,3,5,38,4,4,6,4,3,4,4,4,4,37,75,3
kimura-sana,24,木村 紗奈,4,5,4,3,4,5,5,3,4,37,6,4,5,5,3,4,3,4,4,38,75,3
yamada-houketsu,24,＠山田 萌結,4,6,5,3,4,4,5,3,4,38,4,5,4,4,3,6,3,4,4,37,75,3
suzuki-mayoru,24,鈴木 磨夜,4,5,4,3,4,5,6,3,4,38,4,5,4,4,3,5,3,5,4,37,75,3
sadoyama-riri,24,佐渡山 理莉,5,5,4,4,3,3,5,3,3,35,6,4,5,4,3,5,4,4,5,40,75,3
