player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,4,3,4,4,3,5,36,4,3,4,4,5,4,3,4,5,36,72,
kuze-natsunokaori,1,＠久世 夏乃香,4,4,4,3,3,3,3,3,4,31,4,3,4,4,4,4,3,4,4,34,65,-7
ookubo-yuzuki,2,＠大久保 柚季,3,4,5,3,2,4,3,2,5,31,4,3,3,4,5,4,3,4,5,35,66,-6
mukai-nanaumi,2,向井 七海,4,4,5,3,2,3,4,3,5,33,4,3,4,4,4,3,3,4,4,33,66,-6
kamidousono-kyajun,2,上堂薗 伽純,4,4,5,3,3,4,3,3,5,34,4,2,3,4,5,3,2,4,5,32,66,-6
sakai-yuuna,5,酒井 優菜,5,3,5,3,3,4,3,2,5,33,4,3,4,4,5,4,2,4,4,34,67,-5
matsumoto-haruka,5,松本 春香,4,4,4,4,3,4,4,3,4,34,3,3,5,4,5,3,2,4,4,33,67,-5
mizuki-shunka,5,＠水木 春花,4,4,4,3,3,3,4,3,5,33,4,3,4,3,5,4,3,4,4,34,67,-5
yuuna,8,髙久 ゆうな,4,4,4,4,3,4,4,3,5,35,4,2,5,3,5,4,2,4,4,33,68,-4
kinoshita-haruka,8,＠木下 遥,4,4,5,4,3,4,4,2,5,35,3,3,4,4,4,3,3,4,5,33,68,-4
matsuyama-rina,8,＠松山 りな,4,4,5,3,4,4,4,3,5,36,4,2,5,3,3,4,3,4,4,32,68,-4
takagi-miyu,8,髙木 美佑,4,3,5,3,3,4,4,2,5,33,4,3,5,5,4,4,3,3,4,35,68,-4
kiyomoto-minami,8,＠清本 美波,4,4,5,4,3,4,3,2,5,34,5,3,4,4,5,3,3,3,4,34,68,-4
nabeshima-umiryou,13,鍋島 海良,4,4,4,3,3,4,4,3,5,34,4,3,5,5,5,3,3,4,3,35,69,-3
kawaguchi-riho,13,川口 莉歩,4,4,5,4,3,4,3,3,4,34,5,3,5,3,4,4,3,4,4,35,69,-3
akita-hikarinashi,13,＠秋田 光梨,4,4,5,3,3,4,4,2,5,34,4,3,4,4,5,4,3,4,4,35,69,-3
nakamura-kaoto,13,中村 佳音,4,3,4,4,3,4,4,2,5,33,5,4,4,4,5,4,2,3,5,36,69,-3
teraoka-sayakaori,13,＠寺岡 沙弥香,4,4,5,4,2,4,4,3,4,34,5,3,4,4,5,4,3,4,3,35,69,-3
itou-risa,13,伊東 里紗,4,4,4,3,3,4,4,3,5,34,4,3,5,4,5,4,2,3,5,35,69,-3
maeda-ai,13,前多 愛,4,4,4,4,3,4,4,2,5,34,4,3,4,3,5,4,3,4,5,35,69,-3
morita-ayane,13,＠森田 彩音,4,4,5,4,2,4,4,3,4,34,4,3,5,3,5,3,3,4,5,35,69,-3
takeda-kisakina,21,＠竹田 妃菜,4,4,5,4,2,3,4,3,5,34,4,3,5,4,4,4,3,5,4,36,70,-2
haga-sachihitomi,21,＠芳賀 幸瞳,4,3,4,4,2,4,4,3,5,33,5,3,5,4,4,4,3,4,5,37,70,-2
kokubun-ayana,21,＠國分 彩那,4,3,5,3,3,3,3,3,5,32,4,3,4,4,5,4,3,6,5,38,70,-2
satou-anzuri,21,＠佐藤 杏莉,4,4,5,3,3,4,3,3,4,33,5,3,4,4,5,4,3,4,5,37,70,-2
kamiya-mio,21,神谷 美緒,4,4,5,4,3,5,4,2,4,35,5,4,4,4,4,3,3,4,4,35,70,-2
nakano-erihana,21,中野 恵里花,4,4,5,3,3,4,4,2,5,34,4,4,4,4,4,4,3,4,5,36,70,-2
nakaji-hou,21,中地 萌,4,4,4,4,3,4,5,3,4,35,3,3,4,4,5,4,3,4,5,35,70,-2
shimatani-kisakisa,21,嶋谷 妃紗,4,4,5,4,2,4,4,3,5,35,3,4,4,4,5,3,3,4,5,35,70,-2
kawanaka-shunka,29,川中 俊果,4,4,5,3,4,4,4,2,5,35,4,3,4,4,5,4,3,4,5,36,71,-1
tagami-kisakinako,29,田上 妃奈子,4,3,5,4,3,3,3,3,5,33,4,3,4,3,5,4,6,4,5,38,71,-1
nakazawa-rurai,29,＠中澤 瑠来,4,4,4,4,3,4,4,3,6,36,4,3,4,3,6,4,2,5,4,35,71,-1
uchiyama-airi,29,内山 愛梨,4,3,5,4,3,4,4,3,4,34,5,4,5,4,4,4,3,3,5,37,71,-1
yasufuku-yukino,29,安福 千乃,4,4,5,3,3,4,4,2,5,34,4,3,4,5,5,4,2,4,6,37,71,-1
okumura-momo,29,奥村 もも,3,4,7,4,3,3,4,3,5,36,4,3,4,4,5,3,3,3,6,35,71,-1
chousaka-ayanae,29,長阪 綾苗,3,4,5,4,3,5,4,3,5,36,4,4,4,4,5,4,2,4,4,35,71,-1
mori-hana,29,森 はな,4,3,5,4,3,4,4,3,5,35,4,3,4,5,4,4,4,4,4,36,71,-1
ashisawa-eri,37,芦沢 衣里,4,4,4,4,3,5,4,3,5,36,4,3,4,4,5,4,3,4,5,36,72,0
takenonai-minami,37,竹ノ内 南,4,4,5,4,3,5,4,3,5,37,4,3,4,3,6,3,3,4,5,35,72,0
fukaya-kotono,37,＠深谷 琴乃,4,4,5,4,4,4,3,2,5,35,4,4,4,3,5,4,3,5,5,37,72,0
nakano-kiryou(kurikaesi),37,仲野 綺良々,4,3,6,3,3,4,4,3,5,35,4,3,4,4,5,5,3,4,5,37,72,0
kojima-ayaka,41,＠小島 彩夏,5,4,5,4,3,4,4,2,4,35,5,4,5,3,5,4,3,4,5,38,73,1
omata-yuzuha,41,＠小俣 柚葉,4,4,5,3,4,5,4,2,4,35,4,3,5,4,5,4,3,4,6,38,73,1
okada-risa,43,岡田 梨沙,5,4,6,4,3,4,4,3,5,38,6,4,4,4,5,3,3,3,4,36,74,2
kinjou-wakana,43,金城 和歌奈,4,4,5,4,3,5,4,4,4,37,5,3,4,4,5,4,4,4,4,37,74,2
gomi-nanako,45,五味 奈々子,6,4,5,4,3,4,4,5,5,40,3,3,4,4,4,4,4,4,5,35,75,3
kawakami-chika,45,＠川上 知夏,4,5,5,4,3,4,4,3,5,37,4,3,5,4,5,4,3,5,5,38,75,3
ukai-momo,45,鵜飼 桃,5,4,4,4,4,6,4,3,5,39,4,4,4,4,6,4,2,4,4,36,75,3
shimizu-bisakurasato,45,＠清水 美櫻里,4,4,5,4,4,4,4,3,5,37,4,3,5,4,4,5,2,4,7,38,75,3
hayashi-akari,45,林 明里,4,3,5,4,3,4,4,2,5,34,6,3,4,4,5,4,3,5,7,41,75,3
yamada-suisaki,45,＠山田 翠咲,4,4,9,3,3,4,4,3,5,39,4,3,6,4,4,4,2,4,5,36,75,3
ide-eairi,51,＠井手 絵愛里,4,4,6,3,4,5,4,3,5,38,5,4,4,3,5,4,3,4,6,38,76,4
takaoka-reisachi,51,高岡 玲幸,5,5,5,5,3,5,3,3,6,40,3,4,4,4,4,4,5,3,5,36,76,4
yamamoto-tadai,53,＠山本 唯依,4,5,5,4,3,5,4,3,7,40,5,5,4,4,5,3,3,3,5,37,77,5
miyabe-juri,54,宮部 樹理,7,4,5,3,4,4,4,3,7,41,5,3,5,4,5,3,3,3,6,37,78,6
kataoka-yoshio,55,＠片岡 佳央,5,6,4,4,3,4,4,3,6,39,4,3,5,4,5,6,4,5,5,41,80,8
takeuchi-sumomona,56,＠竹内 李奈,5,4,5,4,4,7,4,3,5,41,5,4,4,4,6,4,3,7,4,41,82,10
yonezawa-ayanashi,57,米澤 綾梨,7,4,5,4,5,5,4,3,7,44,9,5,4,4,5,3,2,4,5,41,85,13
