player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,3,5,4,4,3,5,4,36,4,4,4,3,4,5,4,3,5,36,72,
kokutou-satsuki,1,谷頭 さつき,4,4,2,5,4,5,2,5,4,35,5,5,4,2,4,4,4,3,4,35,70,-2
tamura-wa,2,田村 和,4,3,2,6,4,4,3,5,4,35,4,5,5,3,4,4,3,3,5,36,71,-1
kinoshita-satoruho,2,木下 智穂,4,4,4,5,3,4,3,5,5,37,4,4,4,2,4,5,3,3,5,34,71,-1
tomikanehara-meiri,4,冨金原	明莉,4,5,2,5,4,3,3,5,5,36,5,4,4,3,4,5,4,2,5,36,72,0
arimoto-hanarei,4,有本 花怜,4,4,3,5,4,4,3,4,4,35,4,5,4,3,4,5,4,3,5,37,72,0
kuze-natsunokaori,4,久世 夏乃香,5,4,3,4,4,4,3,5,4,36,4,4,4,2,4,5,4,3,6,36,72,0
kawanaka-shunka,4,川中 俊果,4,4,2,4,4,4,3,5,5,35,5,4,5,3,4,5,4,2,5,37,72,0
furuya-shoukaori,8,古家 翔香,4,5,2,5,4,4,3,4,4,35,5,4,4,3,4,4,4,3,7,38,73,1
kojima-ayaka,9,小島 彩夏,4,3,3,6,4,5,3,6,4,38,4,4,4,3,5,4,3,4,5,36,74,2
katou-saya,9,加藤 沙弥,4,5,2,5,4,4,3,4,6,37,5,4,3,3,3,5,4,4,6,37,74,2
yamamoto-ayano,9,山本 彩乃,4,4,3,4,4,4,4,5,5,37,5,4,4,3,4,4,4,2,7,37,74,2
suzuki-umisaki,9,鈴木 海咲,5,3,3,5,4,4,3,5,4,36,4,4,4,3,4,6,3,5,5,38,74,2
terada-kouran,9,寺田 紅蘭,4,3,3,6,4,5,3,4,4,36,5,5,4,4,4,4,4,3,5,38,74,2
tsuboi-yuukaori,14,坪井 悠香,5,5,4,5,5,5,3,5,4,41,4,3,5,2,4,5,3,3,5,34,75,3
nagao-sayuri,14,長尾 小百合,4,4,3,4,4,5,5,4,4,37,4,4,5,2,4,6,4,4,5,38,75,3
uetake-aimi,14,植竹 愛海,4,4,3,4,5,4,3,5,5,37,4,4,4,3,6,6,3,3,5,38,75,3
