player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,4,3,4,5,4,3,5,36,5,4,3,4,5,3,4,4,4,36,72,
kurabayashi-natsu,1,倉林 夏,3,4,4,2,3,5,4,2,4,31,5,3,3,4,5,3,4,4,4,35,66,-6
watanabe-shiori,2,渡邊 詩織,3,3,4,3,4,5,4,3,5,34,5,4,3,4,4,2,3,4,3,32,66,-6
ootsuka-yukino,3,大塚 由姫乃,4,4,4,3,3,5,3,4,4,34,3,3,3,5,5,3,4,4,3,33,67,-5
wakui-mayu,4,和久井 麻由,3,5,4,3,5,4,5,2,5,36,4,4,3,3,5,3,3,4,4,33,69,-3
kamiya-mio,4,神谷 美緒,4,3,4,3,4,5,4,3,4,34,4,4,3,4,5,3,3,6,3,35,69,-3
kouriyama-hitomi,4,郡山 瞳,4,4,4,3,4,5,4,3,5,36,4,4,3,4,4,2,4,4,4,33,69,-3
morimoto-ten,4,森本 天,4,4,4,3,4,5,4,3,4,35,4,4,3,4,5,3,3,4,4,34,69,-3
ishikawa-yumeka,4,石川 夢香,3,3,5,3,3,5,3,3,5,33,5,4,3,4,4,3,4,5,4,36,69,-3
yamamoto-kanaoto,9,@山本 華菜音,4,4,4,3,4,5,4,4,4,36,5,3,3,4,4,3,4,4,4,34,70,-2
shimabukuro-hino,9,島袋 ひの,4,4,4,3,4,4,4,3,5,35,5,4,3,4,5,3,4,4,3,35,70,-2
watanabesa-yahana,11,@渡邊紗 弥華,4,3,4,3,3,5,4,3,4,33,5,5,3,4,5,3,4,5,4,38,71,-1
yokoyama-shu(kurikaesi)na,11,@横山 珠々奈,4,5,4,3,4,4,4,3,5,36,4,4,3,4,4,3,4,4,5,35,71,-1
shiote-risai,11,@塩手 莉彩,4,5,5,3,4,4,4,2,5,36,4,4,4,4,5,3,4,3,4,35,71,-1
endou-katsuraoto,11,@遠藤 桂音,4,6,4,3,4,4,3,3,4,35,5,4,2,4,5,3,4,6,3,36,71,-1
tanaka-haruna,11,@田中 陽菜,4,3,4,3,4,6,4,3,5,36,5,4,3,4,4,2,4,4,5,35,71,-1
nakatani-rei,11,@中谷 玲,3,4,3,4,5,5,3,3,5,35,4,4,3,4,5,3,4,4,5,36,71,-1
hayashi-arina,11,林 亜莉奈,4,3,4,3,4,5,4,3,5,35,4,5,4,4,4,3,4,4,4,36,71,-1
shintani-me(kurikaesi),11,@新谷 芽々,3,3,4,4,4,6,4,3,5,36,5,4,3,4,6,3,3,4,3,35,71,-1
usui-ranze,11,臼井 蘭世,4,4,4,3,3,5,5,3,5,36,4,4,3,4,5,3,4,4,5,36,72,0
inamura-kaguya,19,@稲村 かぐや,3,3,4,3,4,5,4,3,4,33,5,4,3,5,5,4,4,5,4,39,72,0
