player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,3,5,3,4,4,4,4,5,36,4,4,4,5,4,3,4,3,5,36,72,
imanishi-sakura,1,今西 さくら,4,2,5,2,4,4,3,3,5,32,5,3,4,5,4,3,4,4,5,37,69,-3
touan-makotorin,2,藤安 真凛,4,2,4,2,3,4,4,5,4,32,4,4,4,5,4,2,5,3,6,37,69,-3
taguchi-ranmei,2,田口 蘭名,4,3,4,3,4,5,4,4,5,36,4,4,4,5,4,2,2,3,5,33,69,-3
morita-shuuko,4,森田 就子,4,4,5,4,4,4,3,3,5,36,4,4,3,5,4,3,3,3,5,34,70,-2
nakayama-rinhana,4,中山 凜花,4,4,5,2,4,3,4,3,5,34,4,4,4,4,4,3,4,4,5,36,70,-2
nakanishi-fuuka,4,中西 風香,4,3,5,3,3,6,3,4,6,37,4,3,4,3,4,3,4,3,5,33,70,-2
nagata-kanae,4,永田 加奈恵,4,3,6,3,4,3,4,5,5,37,4,4,4,4,4,2,4,3,4,33,70,-2
sawada-chika,4,澤田 知佳,4,3,4,2,4,4,3,4,5,33,4,3,3,5,6,4,3,3,6,37,70,-2
nagano-miyu,4,長野 美結,4,2,5,3,3,5,3,4,5,34,3,4,4,6,3,3,4,3,6,36,70,-2
koga-kisaki,10,古賀 妃,4,2,5,3,4,4,4,4,5,35,4,4,4,5,4,3,4,3,5,36,71,-1
akita-hikarinashi,10,秋田 光梨,4,4,5,3,3,4,4,3,5,35,4,4,4,4,5,3,4,3,5,36,71,-1
matsumoto-haruka,10,松本 春香,4,3,4,3,4,4,4,4,5,35,4,5,3,5,4,2,4,4,5,36,71,-1
kitamura-yuuna,10,北村 優奈,4,2,5,4,3,6,3,3,5,35,3,3,5,6,5,3,3,3,5,36,71,-1
oouchi-zuiki,14,大内 瑞喜,4,3,5,3,4,5,4,4,5,37,3,4,4,5,4,3,4,3,5,35,72,0
yoshimoto-hyakka,14,吉本 百花,4,4,5,3,4,4,4,3,5,36,4,4,4,5,5,3,3,3,5,36,72,0
suzuki-umisaki,14,鈴木 海咲,5,4,4,2,4,4,4,4,4,35,5,4,4,6,4,3,3,3,5,37,72,0
narukawa-airi,14,鳴川 愛里,4,4,4,3,5,4,4,3,4,35,5,5,4,5,4,2,4,4,4,37,72,0
hashimoto-mizuna,14,橋本 美津奈,4,3,4,3,4,5,4,4,6,37,5,4,4,5,4,3,3,2,5,35,72,0
satou-ryouoto,14,佐藤 涼音,5,3,5,3,4,4,4,5,5,38,4,3,3,4,5,3,3,3,6,34,72,0
jinja-sayaka,14,神社 佐也加,5,3,5,4,4,3,4,4,5,37,4,4,4,5,5,3,3,3,4,35,72,0
watanabe-shiori,14,渡邊 詩織,6,3,5,3,4,4,3,4,5,37,4,4,4,5,5,3,3,2,5,35,72,0
shuutou-kaho,14,周藤 可歩,5,2,5,4,4,3,4,5,5,37,5,4,4,4,4,3,3,3,5,35,72,0
koshiokawa-seri,14,小潮川 せり,4,3,5,3,4,4,4,5,5,37,3,5,4,5,4,3,4,2,5,35,72,0
nabeshima-umiryou,24,鍋島 海良,4,3,5,3,6,4,4,4,5,38,4,5,4,5,4,3,3,3,4,35,73,1
hashiguchi-hoshizora,24,橋口 星空,4,2,4,3,4,4,3,5,4,33,4,3,5,9,5,3,3,3,5,40,73,1
karakida-kisakina,24,唐木田 妃菜,4,4,5,2,5,3,3,5,5,36,4,4,5,5,4,3,4,3,5,37,73,1
kuroda-hikariri,24,黒田 光理,5,5,6,3,3,4,4,4,5,39,5,3,4,5,4,3,3,3,4,34,73,1
hanada-hananashi,24,花田 華梨,4,3,5,3,4,5,5,4,5,38,3,4,4,5,4,4,3,3,5,35,73,1
kajiyama-marina,29,梶山 万里奈,4,3,6,3,3,7,4,6,4,40,3,4,3,6,4,3,3,3,5,34,74,2
fujisaki-sakura,29,藤崎 咲良,5,3,4,4,4,5,4,4,5,38,4,5,5,4,4,4,3,2,5,36,74,2
hanaoka-chiharu,29,花岡 千陽,5,3,5,3,4,4,4,5,4,37,4,5,4,6,4,3,3,3,5,37,74,2
katou-reina,29,加藤 麗奈,5,3,6,3,5,4,3,4,6,39,5,3,4,5,4,4,3,2,5,35,74,2
satou-kokorohiroshi,29,佐藤 心裕,4,3,4,3,5,3,4,4,5,35,4,4,3,7,4,3,5,3,6,39,74,2
terada-kouran,29,寺田 紅蘭,7,4,5,4,4,3,3,3,4,37,4,6,3,6,3,3,3,3,6,37,74,2
morita-rino,29,森田 乃愛,4,3,4,4,4,4,4,5,6,38,4,4,4,5,4,2,4,4,5,36,74,2
mukai-nanaumi,29,向井 七海,4,3,5,4,4,4,4,4,6,38,4,4,4,5,5,3,4,3,4,36,74,2
kinjou-manan,29,金城 茉南,4,2,6,4,4,4,4,4,5,37,2,5,4,6,4,3,4,3,6,37,74,2
akamatsu-nagisa,38,赤松 渚,5,3,5,2,4,6,4,5,4,38,4,4,5,5,3,4,4,3,5,37,75,3
koga-koromosakura,38,古賀 衣桜,4,3,4,2,6,4,4,5,5,37,4,4,5,4,4,4,4,3,6,38,75,3
kobori-hitsujiai,38,小堀 未愛,5,3,5,4,4,3,4,6,5,39,3,3,3,6,4,3,4,3,7,36,75,3
hashimoto-chizuna,38,橋本 千津奈,4,3,6,3,4,4,4,4,5,37,5,3,4,5,5,3,5,3,5,38,75,3
tagami-kisakinako,38,田上 妃奈子,5,3,4,3,5,5,4,4,5,38,4,5,5,5,4,2,4,2,6,37,75,3
kamiya-namegumi,38,神谷 奈恵,5,3,4,3,6,3,4,4,5,37,4,4,5,6,4,3,4,3,5,38,75,3
kobayashi-kyouka,38,小林 京加,4,3,6,3,4,5,4,4,5,38,5,5,4,4,4,3,4,2,6,37,75,3
iwamoto-hyuuga,38,岩本 日向,5,3,5,3,4,4,3,4,4,35,5,5,4,5,5,3,4,3,6,40,75,3
jienifaa-koga,38,ジェニファー コガ,3,3,6,3,4,4,4,5,4,36,5,4,5,6,4,3,3,4,5,39,75,3
ikeuchi-kanae,38,池内 カナエ,4,2,4,4,6,5,4,4,5,38,6,3,3,6,4,3,4,3,5,37,75,3
nishioka-rikako,38,西岡 利佳子,4,3,4,3,4,4,4,4,5,35,4,4,6,5,3,3,4,3,8,40,75,3
yoshikawa-saikaori,49,吉川 采香,6,2,5,3,4,4,4,4,5,37,4,6,4,8,4,3,4,2,4,39,76,4
tanaka-mizuyo,49,田中 瑞代,5,3,6,3,6,4,4,4,5,40,4,4,6,4,4,3,3,3,5,36,76,4
tsuboi-yuukaori,49,坪井 悠香,4,5,5,2,4,3,4,6,5,38,4,4,4,5,6,3,4,3,5,38,76,4
yamaguchi-risen,49,山口 璃千,4,3,5,3,4,4,4,5,4,36,6,5,3,6,4,3,4,4,5,40,76,4
fujii-kanouka,49,藤井 叶佳,5,3,5,4,4,4,3,6,5,39,3,4,5,5,4,3,5,2,6,37,76,4
