player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,4,3,4,5,4,3,5,36,4,4,5,4,3,4,4,3,5,36,72,
takaku-yuuna,1,高久 ゆうな,3,4,4,3,4,4,4,3,5,34,4,4,5,3,3,4,4,3,4,34,68,-4
takagi-rion,2,＠高木 りおん,4,3,3,4,3,4,5,3,5,34,3,5,5,5,4,4,3,3,3,35,69,-3
kawamura-kurumi,2,河村 来未,4,4,4,3,4,4,4,2,4,33,4,4,4,4,3,4,3,4,6,36,69,-3
hayakawa-natsumi,2,早川 夏未,4,4,4,3,3,4,4,3,6,35,5,4,5,3,3,4,3,3,4,34,69,-3
ezawa-aki,5,江澤 亜季,5,4,4,3,4,4,4,2,5,35,4,3,4,4,3,4,4,3,6,35,70,-2
takeuchi-miku,5,竹内 美来,4,4,4,3,4,4,4,3,4,34,5,4,4,4,2,4,4,5,4,36,70,-2
kumazawa-ami,7,熊澤 亜美,5,5,5,3,3,5,4,2,5,37,4,5,4,4,4,3,3,3,4,34,71,-1
yokoyama-shu(kurikaesi)na,7,＠横山 珠々奈,5,4,4,2,4,4,4,3,5,35,4,5,5,4,3,5,4,2,4,36,71,-1
takagi-misaki,7,＠高木 美咲,4,4,5,3,4,4,4,2,5,35,4,4,6,4,3,5,3,3,4,36,71,-1
miyabe-juri,7,宮部 樹理,5,4,4,3,3,5,5,2,5,36,3,3,5,3,3,5,6,2,5,35,71,-1
morohashi-aina,7,諸橋 愛奈,4,4,3,3,4,4,4,3,5,34,5,4,4,4,3,5,4,3,5,37,71,-1
fujikawa-reina,7,藤川 玲奈,5,4,3,2,4,5,4,3,5,35,4,4,5,3,4,4,4,3,5,36,71,-1
horiuchi-meiri,7,堀内 明莉,3,3,5,3,4,5,4,3,5,35,4,4,5,5,3,3,4,4,4,36,71,-1
igarashi-bouyume,14,@五十嵐 望夢,4,4,4,3,4,5,4,2,5,35,4,4,4,3,6,4,4,3,5,37,72,0
shintani-me(kurikaesi),14,@新谷 芽々,5,4,4,3,4,5,4,3,4,36,4,4,5,4,3,4,4,3,5,36,72,0
ozaki-akane,14,小崎 茜,4,4,5,3,4,4,4,3,6,37,3,4,5,4,3,5,4,3,4,35,72,0
ueno-youkou,14,上野 陽向,4,4,5,3,3,5,4,3,5,36,5,3,5,4,3,4,4,3,5,36,72,0
oomura-minami,14,大村 みなみ,4,3,4,3,3,5,4,3,5,34,4,5,6,4,3,4,5,3,4,38,72,0
murata-hokaori,19,＠村田 歩香,4,4,4,3,4,4,4,4,5,36,4,4,5,3,3,6,4,3,5,37,73,1
kitagawa-sakuraku,19,＠北川 紗玖楽,4,4,5,3,4,4,4,3,4,35,5,4,5,4,3,4,5,3,5,38,73,1
furuya-yuuka,19,古屋 佑佳,5,4,4,2,4,5,4,3,5,36,4,5,5,4,3,4,4,3,5,37,73,1
asami-yuuhana,19,浅見 優華,4,3,5,3,4,4,4,3,5,35,4,4,6,4,3,5,3,4,5,38,73,1
tadokoro-misaki,19,田所 美沙樹,4,4,4,3,3,4,4,3,5,34,5,4,5,4,3,4,4,5,5,39,73,1
sekiguchi-heki,24,＠関口 碧,4,4,4,5,5,4,4,2,5,37,5,4,5,4,4,3,3,4,5,37,74,2
harada-ruriminami,24,@原田 瑠璃南,5,4,4,3,4,4,3,3,5,35,4,7,4,3,3,7,4,2,5,39,74,2
yamamoto-yuka,24,@山本 優花,3,4,4,3,5,5,5,3,4,36,4,4,6,4,3,4,4,5,4,38,74,2
mizuno-enrin,24,水野 円琳,3,4,6,3,4,5,4,3,5,37,4,4,6,3,4,4,3,3,6,37,74,2
taketani-matsukou,24,竹谷 茉紘,5,5,5,3,5,4,4,3,5,39,3,4,6,3,4,4,4,3,4,35,74,2
nakagawa-rika,24,中川 梨華,4,4,4,4,4,6,5,2,4,37,4,5,5,3,3,4,5,3,5,37,74,2
yoshizawa-yuzugatsu,30,＠吉澤 柚月,3,4,5,3,5,4,3,3,7,37,4,6,5,4,3,5,4,3,4,38,75,3
hoshino-runa,30,@星野 瑠菜,4,3,4,3,5,5,6,3,5,38,5,4,4,5,3,4,4,3,5,37,75,3
nakatani-rei,30,@中谷 玲,4,4,3,3,4,5,5,3,6,37,3,4,5,4,5,4,4,4,5,38,75,3
nakazawa-rurai,30,@中澤 瑠来,4,3,5,3,4,5,5,3,4,36,4,5,5,4,3,4,4,4,6,39,75,3
suzuki-yume,30,＠鈴木 優芽,6,3,4,3,4,5,5,3,4,37,4,5,4,3,4,5,4,4,5,38,75,3
muguruma-nichinano,30,@六車 日那乃,4,4,4,3,4,5,5,3,5,37,5,4,5,4,3,5,3,2,7,38,75,3
yamamoto-hiyori,30,山本 ひより,5,4,4,2,5,6,3,3,7,39,5,4,5,4,2,5,4,3,4,36,75,3
mori-zuina,30,森 瑞那,5,3,4,3,5,5,4,3,5,37,5,4,5,3,5,6,3,3,4,38,75,3
konno-yuuna,38,@金野 優菜,5,5,3,4,4,5,4,3,6,39,4,4,5,5,4,4,4,3,4,37,76,4
watanabe-sakuramurasaki,38,@渡邊 桜紫,4,4,4,3,4,5,4,3,5,36,5,4,5,5,3,5,3,4,6,40,76,4
suzuki-natsuru,38,@鈴木 夏瑠,4,4,4,3,4,5,5,4,5,38,4,4,5,4,4,5,4,3,5,38,76,4
okada-kiyoshimomiji,38,岡田 清楓,4,4,4,3,4,5,4,3,5,36,4,5,7,3,3,5,4,4,5,40,76,4
miyamoto-ririka,38,宮本 リリカ,4,5,4,3,4,5,4,3,4,36,5,5,6,4,3,4,4,3,6,40,76,4
sakata-raikaori,38,坂田 來香,5,4,4,3,7,4,4,3,5,39,4,4,5,4,4,4,4,3,5,37,76,4
bandou-nao,38,坂東 奈央,4,6,4,3,4,5,4,3,6,39,5,5,4,3,4,4,4,3,5,37,76,4
yamaguchi-rio,38,山口 里緒,5,4,4,3,4,5,4,3,6,38,4,4,4,4,4,5,4,4,5,38,76,4
mori-hana,38,森 はな,5,3,5,3,4,6,4,2,6,38,4,4,4,5,4,4,5,3,5,38,76,4
aoki-kanako,38,青木 香奈子,5,6,4,3,3,5,4,3,5,38,4,4,5,5,4,4,4,3,5,38,76,4
suzuki-aikako,38,鈴木 愛佳子,5,4,5,3,4,5,5,3,5,39,4,4,7,4,3,4,4,3,4,37,76,4
wada-junrei,38,和田 純怜,4,4,3,3,4,6,4,4,5,37,4,4,5,4,4,5,4,2,7,39,76,4
saitou-manami,38,齊藤 愛美,5,5,4,3,4,4,5,2,5,37,5,5,6,4,4,4,4,3,4,39,76,4
itou-kirara,51,伊藤 きらら,5,3,4,3,4,5,4,4,6,38,4,4,6,4,4,4,3,4,6,39,77,5
ogino-harumi,51,荻野 晴海,4,5,4,4,4,5,4,3,6,39,5,4,5,4,4,5,3,3,5,38,77,5
yoshida-rinama,51,吉田 莉生,4,5,5,3,3,6,5,3,5,39,5,4,6,4,3,4,4,3,5,38,77,5
kondou-ami,51,近藤 あみ,4,4,4,3,5,5,5,4,6,40,4,5,4,4,3,5,5,3,4,37,77,5
takahashi-sachi,51,高橋 幸,5,4,6,4,4,5,4,3,5,40,5,4,4,4,4,3,5,3,5,37,77,5
fukaya-kotono,51,深谷 琴乃,5,5,4,3,4,4,4,3,5,37,4,7,5,4,4,4,4,3,5,40,77,5
matsuyama-rina,57,@松山 りな,4,6,4,4,5,5,4,3,5,40,3,5,6,3,3,4,5,3,6,38,78,6
washizaki-nami,57,@鷲崎 奈未,5,4,5,3,5,5,4,3,5,39,4,5,5,4,3,5,5,3,5,39,78,6
matsushita-nao,57,松下 奈央,6,4,4,4,4,5,5,4,5,41,4,5,5,3,3,4,4,4,5,37,78,6
nishiyama-sayaka,57,西山 沙也香,6,4,4,3,4,5,4,3,6,39,4,4,6,4,4,5,4,3,5,39,78,6
meguro-takara,57,目黒 宝,5,4,4,3,6,5,5,4,5,41,4,4,6,3,3,5,3,4,5,37,78,6
hayashi-arina,57,林 亜莉奈,4,5,4,4,3,5,5,3,7,40,5,4,6,5,3,5,3,2,5,38,78,6
inoue-nagisa,63,@井上 渚,5,5,4,3,6,6,4,3,5,41,5,4,5,4,3,5,4,3,5,38,79,7
sekiguchi-mitsuki,63,関口 美月,5,6,4,3,5,4,4,3,6,40,4,5,6,4,3,6,3,4,4,39,79,7
yoshino-saki,63,吉野 早紀,4,5,5,3,4,6,4,3,5,39,4,4,6,4,3,5,4,3,7,40,79,7
chinju-aika,63,鎮守 愛佳,5,4,4,3,4,6,4,3,5,38,4,5,5,6,3,5,5,3,5,41,79,7
yagishita-rina,63,柳下 里菜,5,4,4,4,5,5,4,3,5,39,6,4,5,4,4,4,5,4,4,40,79,7
inamura-kaguya,68,@稲村 かぐや,5,5,4,4,6,5,5,3,5,42,5,3,5,4,3,5,4,4,5,38,80,8
maruyama-na(kurikaesi)bi,68,@丸山 菜々美,5,4,3,4,4,5,4,2,4,35,5,4,6,4,3,6,5,5,7,45,80,8
shin-akari,68,@秦 あかり,4,5,5,2,5,6,3,4,6,40,4,5,6,4,3,5,4,4,5,40,80,8
ootsuka-yukino,68,＠大塚 由姫乃,5,4,4,4,4,4,4,3,5,37,6,4,5,5,3,5,5,4,6,43,80,8
yanagisawa-konomi,68,柳澤 木の実,5,4,5,4,5,5,4,3,5,40,5,7,5,4,3,5,4,2,5,40,80,8
koukami-mirai,73,鴻上 みらい,4,7,4,3,5,5,4,3,7,42,5,4,5,3,4,4,5,3,6,39,81,9
sumikawa-ai,73,澄川 愛,6,5,4,4,5,6,5,3,5,43,4,4,5,3,3,5,5,4,5,38,81,9
kanemoto-yoshio,75,＠金本 佳央,5,4,4,3,4,6,5,3,5,39,6,4,6,4,3,4,6,3,7,43,82,10
kashiwabara-mizuki,75,@柏原 瑞季,6,4,4,4,6,4,4,3,4,39,4,5,5,6,4,4,3,5,7,43,82,10
takashima-miho,75,高島 海帆,4,5,3,3,6,4,5,3,6,39,3,6,5,4,6,7,4,3,5,43,82,10
satou-mariko,75,佐藤 万里子,8,5,3,2,5,5,4,4,6,42,6,4,5,3,3,6,5,4,4,40,82,10
endou-rino,79,遠藤 璃乃,4,5,5,4,6,5,5,3,4,41,4,4,5,6,4,7,4,4,5,43,84,12
harada-reina,79,原田 怜奈,4,5,4,2,5,5,5,3,7,40,4,4,5,5,4,5,4,4,9,44,84,12
asai-tsukasa,81,＠浅井 つかさ,7,5,5,3,5,7,5,3,5,45,4,4,5,5,4,4,4,5,5,40,85,13
midorikawa-zuirei,82,＠緑川 瑞玲,5,4,4,3,7,7,4,5,6,45,4,5,6,4,4,5,5,4,5,42,87,15
ishikawa-matsutomonatsu,82,石川 茉友夏,3,4,5,3,7,7,6,5,4,44,5,4,5,4,4,4,7,3,7,43,87,15
hamano-saki,84,@濱野 紗綺,4,5,5,3,4,5,3,4,7,40,6,6,7,5,5,5,4,3,7,48,88,16
kawai-anna,85,川合 杏奈,7,5,5,4,4,5,4,2,5,41,5,4,6,5,5,7,6,4,7,49,90,18
