player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,5,4,4,3,4,3,5,4,4,36,4,4,4,3,5,4,4,3,5,36,72,
muguruma-nichinano,1,＠六車　日那乃,5,4,4,3,4,2,4,4,4,34,3,4,4,3,4,4,4,3,5,34,68,-4
kobayashi-mei,2,小林　芽衣,5,4,4,2,4,3,4,4,5,35,4,3,3,3,4,4,4,4,5,34,69,-3
takaku-yuuna,3,高久　ゆうな,5,4,5,3,4,4,4,4,4,37,4,4,4,3,4,3,4,3,4,33,70,-2
matsuoka-hana,3,松岡　華,5,3,4,3,4,3,5,5,4,36,4,4,3,3,5,3,4,3,5,34,70,-2
kumazawa-ami,3,熊澤　亜美,5,4,4,3,4,3,3,4,4,34,4,4,3,3,5,3,5,4,5,36,70,-2
murata-ketsu,6,＠村田　結,4,3,4,3,4,3,5,4,4,34,4,4,5,3,5,4,4,3,5,37,71,-1
wakui-mayu,6,和久井　麻由,5,4,4,3,4,3,4,4,4,35,4,5,4,2,5,5,4,2,5,36,71,-1
sasahara-yumi,8,笹原　優美,5,4,4,2,4,3,5,4,5,36,4,4,4,2,6,4,4,3,5,36,72,0
kuroda-hikariri,8,黒田　光理,5,3,4,3,4,3,5,5,4,36,3,4,4,3,5,4,5,3,5,36,72,0
ikehane-youkou,10,池羽　陽向,4,4,4,4,4,4,5,4,4,37,4,4,3,3,5,4,4,4,5,36,73,1
hoshino-runa,10,＠星野　瑠菜,5,5,4,3,4,3,5,5,4,38,4,4,3,3,5,4,4,3,5,35,73,1
tamura-ryouumi,10,田村　良海,5,4,5,3,3,3,4,5,5,37,4,4,4,3,6,4,4,3,4,36,73,1
mori-hana,10,森　はな,5,3,4,3,5,3,5,4,4,36,4,5,4,3,5,4,4,3,5,37,73,1
mikawa-sumie,10,三川　澄恵,5,3,4,3,4,3,6,4,4,36,3,4,4,3,4,5,5,4,5,37,73,1
nakano-erihana,10,中野　恵里花,5,5,4,3,4,4,5,4,4,38,4,3,3,3,5,5,5,2,5,35,73,1
haga-sachihitomi,16,＠芳賀　幸瞳,5,4,5,3,4,3,4,4,4,36,5,4,5,2,5,5,4,3,5,38,74,2
kobayashi-mizuki,16,小林　瑞季,5,4,4,2,4,4,5,4,6,38,4,4,4,3,4,4,4,3,6,36,74,2
suzuki-mayoru,16,鈴木　磨夜,5,5,5,3,4,2,4,5,4,37,4,4,4,3,5,4,4,3,6,37,74,2
yokoyama-shu(kurikaesi)na,16,＠横山　珠々奈,5,4,5,4,3,3,5,4,4,37,4,4,3,3,5,5,5,3,5,37,74,2
horiuchi-meiri,16,堀内　明莉,6,4,4,3,4,3,4,4,4,36,4,4,4,3,5,4,5,3,6,38,74,2
kawai-anna,16,川合　杏奈,5,4,4,4,4,2,5,4,5,37,4,4,4,4,4,4,4,3,6,37,74,2
hayakawa-natsumi,16,早川　夏未,5,4,4,3,5,3,5,7,4,40,4,3,4,3,5,4,3,3,5,34,74,2
hayashi-arina,16,林　亜莉奈,5,3,4,3,4,3,5,4,4,35,5,4,4,3,5,4,4,4,6,39,74,2
nakagawa-rika,16,中川　梨華,5,5,4,3,4,3,4,5,4,37,5,4,4,3,4,4,4,4,5,37,74,2
ishikawa-natomonatsu,25,石川　菜友夏,5,3,4,2,5,4,4,7,5,39,4,5,4,2,5,4,5,2,5,36,75,3
suzuki-natsuru,25,＠鈴木　夏瑠,5,6,4,3,4,3,5,4,4,38,5,4,4,3,5,4,3,4,5,37,75,3
kawamura-kurumi,25,河村　来未,5,4,4,3,4,4,4,4,4,36,4,5,4,3,5,5,4,4,5,39,75,3
ueno-youkou,25,上野　陽向,5,4,4,3,5,3,5,5,4,38,4,5,4,3,5,5,4,3,4,37,75,3
nakatani-suzune,25,中谷　鈴音,5,4,4,3,5,3,4,5,4,37,6,4,4,3,5,3,5,3,5,38,75,3
shimabukuro-hino,25,＠島袋　ひの,5,4,4,4,5,3,4,4,5,38,4,5,3,3,5,4,4,3,6,37,75,3
tagami-kisakinako,25,田上　妃奈子,6,4,5,3,4,3,5,4,4,38,5,4,3,2,5,5,4,4,5,37,75,3
tadokoro-misaki,25,田所　美沙樹,5,4,4,4,4,4,5,4,4,38,4,4,4,3,5,4,4,3,6,37,75,3
higuchi-akemi,33,樋口　あけみ,5,3,5,4,4,3,5,5,4,38,4,5,4,3,5,3,5,4,5,38,76,4
asami-yuuhana,33,浅見　優華,5,4,4,3,4,3,5,4,5,37,4,4,3,3,5,4,5,4,7,39,76,4
kitahori-asahi,33,北堀　あさひ,6,4,4,3,4,2,5,4,7,39,4,4,4,3,5,4,5,3,5,37,76,4
sadoyama-riri,33,佐渡山　理莉,5,3,3,3,5,4,5,4,4,36,4,4,4,4,5,5,5,3,6,40,76,4
kamiya-mio,33,神谷　美緒,4,5,4,3,4,3,5,5,3,36,3,4,6,3,5,5,7,2,5,40,76,4
kawabata-yuuna,33,＠川畑　優菜,5,4,5,3,4,3,4,4,5,37,5,4,4,3,5,5,5,3,5,39,76,4
makita-shoudan,33,蒔田　小暖,5,4,4,2,4,3,5,6,5,38,5,4,4,3,5,4,4,4,5,38,76,4
inoue-nagisa,40,＠井上　渚,5,4,5,4,4,4,4,5,4,39,4,4,4,4,5,4,5,3,5,38,77,5
